Layer,Repo_Project,Primary_Function,Overlap_With,Decision,Priority,Rationale
Layer 1: Model Routing & Gateways (Single Endpoint),diegosouzapw/OmniRoute,"Universal AI router, combo aliases, Caveman/RTK token compression, Tailscale mesh","LiteLLM, TensorZero",ADOPT,P0,"Primary local gateway (:20128). Native support for combos, auth, and token compression."
Layer 1: Model Routing & Gateways (Single Endpoint),BerriAI/litellm,"OpenAI-compatible proxy, multi-provider fallback chains","OmniRoute, TensorZero",ADOPT,P0,"Containerized gateway (:4000) inside Mac Studio Docker. Connects Ollama, DeepSeek, and Anthropic fallback."
Layer 1: Model Routing & Gateways (Single Endpoint),tensorzero/tensorzero,Model gateway with automated prompt optimization & evals,LiteLLM,EVALUATE,P1,Benchmark in staging for automated prompt optimization and routing evals.
Layer 1: Model Routing & Gateways (Single Endpoint),Portkey-AI/gateway,Enterprise AI gateway,OmniRoute,REFERENCE,P2,Cloud-first. Use for fallback routing and retry architecture patterns only.
Layer 1: Model Routing & Gateways (Single Endpoint),Bifrost,Fast LLM gateway,LiteLLM,DEFER,P2,Redundant while OmniRoute + LiteLLM fulfill 100% of routing needs.
Layer 1: Model Routing & Gateways (Single Endpoint),9router,Early router fork,OmniRoute,REMOVE,P3,Upstream superseded and merged into OmniRoute.
Layer 1: Model Routing & Gateways (Single Endpoint),llm-router,Lightweight semantic router,OmniRoute,REFERENCE,P2,Reference for cosine-similarity semantic routing algorithms.
Layer 1: Model Routing & Gateways (Single Endpoint),CLIProxyAPI,CLI proxy bridge,OmniRoute,REJECT,P3,Obsolete; OmniRoute CLI targets handle all tool bridges natively.
Layer 2: Token & Context Compression (Highest Priority),rtk-ai/rtk,CLI and tool-result token compression,Headroom,ADOPT,P0,Eliminates 60–90% of tool-call output tokens before they enter model context.
Layer 2: Token & Context Compression (Highest Priority),Caveman,Extreme user & system prompt compression,LLMLingua,ADOPT,P0,Built into OmniRoute (`cavemanConfig`). Prunes conversational boilerplate.
Layer 2: Token & Context Compression (Highest Priority),Headroom,Buffer compaction & context window management,RTK,EVALUATE,P1,Test for compaction of multi-turn conversational transcripts.
Layer 2: Token & Context Compression (Highest Priority),microsoft/LLMLingua,Small-model token pruning based on perplexity,Caveman,EVALUATE,P1,Benchmark token savings vs. answer degradation on code generation tasks.
