venture_id,name,sector,mobile_archetype,confidence,tech_stack,top_competitors,ai_features,candidates
dd78dc7f,QuantumLedger,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
fbf1cfaf,CogniFlow,ai,saas_tool,50.0%,"React Native, Flutter","Asana, Monday",AI task automation | Smart scheduling | Auto-summarization,"saas_tool,content_community"
4f3bc116,SkillForge,edtech,content_community,30.0%,"React Native, Flutter","TikTok, Instagram Reels",AI recommendations | Automated thumbnails | Transcription + captions,content_community
484ac493,VitalSense,health,health_wellness,60.0%,"React Native, Flutter","Fitbit, Strava",Personalized workout plans | Health predictions (ML) | Smart coaching (AI),"health_wellness,b2b_enterprise"
a4edc8b5,Tax Intelligence Platform,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,"content_community,fintech_wealth"
a816b258,Credit Repair Automation,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
c3420a69,Ai Boss Hub Lite,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
8d5aaff7,Genixbanks Ai Treasurer,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
6864b44d,U Haul Rental Affiliate,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
da7741e1,Business Credit Building,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
37827f2a,Business Formation Services,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,"marketplace,fintech_wealth"
a12d6916,Crypto Tax Optimizer,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
f2271f17,Ai Powered Garbage Collection,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
db540a0b,Automated Bookkeeping,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
2456b3b6,Invoice Factoring Ai,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
994cd260,Charity Donation Ai,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
a2192e41,Expense Tracker Ai,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
01f74934,Trade Finance Ai,fintech,fintech_wealth,90.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
d0ac1d6c,Remittance Ai,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
af84081d,Wealth Transfer Ai,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
6364ddf9,Payment Gateway Ai,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,"marketplace,fintech_wealth"
54e48239,Debt Consolidation Ai,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
987c8140,Tax Deduction Finder,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
55c975e3,Budget Forecasting Ai,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
30a407a5,Investment Portfolio Ai,fintech,fintech_wealth,90.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
e43ada0c,Business Template Marketplace,market,marketplace,50.0%,"React Native, Flutter","TaskRabbit, Handy",Predictive matching (ML) | Dynamic pricing (AI) | Fraud detection (ML),marketplace
963b382c,Credit Repair Automation,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
bdf2e0fb,Ai Boss Hub Lite,fintech,fintech_wealth,60.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
