Repository Name,Category,Purpose,Capabilities,Dependencies,Tech Stack,Reusability Score (1-10),Revenue Potential,Strategic Value,Related Ventures,Related Repos,Notes
Supabase,Infrastructure,"Managed PostgreSQL database + auth + realtime backend","Database operations, Authentication, Real-time sync, Storage, API","PostgreSQL, Auth0 optional, S3-compatible storage","TypeScript, PostgreSQL, Node.js",9,"$500K-2M/year (white-label SaaS)","Powers database layer for all ventures, enables real-time features","EDU-013, CON-001, CON-011, CON-012, FIN-001, FIN-002","PostgreSQL, Auth0, S3","Core infrastructure"
Vercel,Infrastructure,"Web hosting and deployment platform","Static/dynamic deployment, Serverless functions, Edge middleware, Analytics, Rollbacks","GitHub, Node.js, Python, Go","TypeScript, Node.js",8,"$200K-500K/year (managed hosting)","Hosts all 712 ventures, enables fast deployment","EDU-013, CON-011, CON-012, CON-001, FIN-001","GitHub, Next.js, Node.js","Deployment infrastructure"
Cloudflare,Infrastructure,"CDN, DNS, security, and DDoS protection","CDN content delivery, DNS management, SSL/TLS, DDoS protection, WAF","DNS registrar, origin server","C++, Lua",7,"$100K-300K/year (managed DNS/security)","Secures and accelerates all venture websites","CON-011, CON-012, EDU-013, All websites","DNS registrars, origin servers","Security and performance layer"
Redis,Infrastructure,"In-memory cache and data store","Caching, Session storage, Message queue, Pub/sub, Rate limiting","TCP connection, Redis compatible clients","C, Lua",8,"$50K-150K/year (managed Redis)","Powers caching layer, enables real-time features","EDU-013, CON-001, FIN-001, FIN-002","Supabase, PostgreSQL, Node.js","High-speed cache layer"
PostgreSQL,Infrastructure,"Relational database management system","CRUD operations, Complex queries, ACID transactions, JSON support, Partitioning","Operating system, TCP networking","C, SQL",9,"$0 (open source, managed versions $100K+)","Foundation for all data storage, enables complex queries","All 712 ventures","Supabase, DuckDB, PgAdmin","Database foundation"
Docker,Infrastructure,"Container runtime and orchestration","Application containerization, Image building, Volume management, Networking, Logging","Linux kernel, container images","Go, Rust",8,"$0 (open source, Docker Desktop $100K+ enterprise)","Enables local dev, CI/CD pipelines, deployment","CON-001, EDU-013, All DevOps","Kubernetes, GitHub Actions, Compose","Containerization foundation"
Kubernetes,Infrastructure,"Container orchestration platform","Pod scheduling, Service discovery, Load balancing, Persistent volumes, Auto-scaling","Docker containers, Linux kernel, cloud APIs","Go, Rust",7,"$0 (open source, managed services $200K+)","Scales applications across clusters, enables high availability","All large-scale ventures","Docker, Helm, Istio","Orchestration at scale"
Prometheus,Infrastructure,"Monitoring and alerting platform","Metrics collection, Time-series storage, Alerting rules, Dashboards, Querying","Scrapers, Alert managers, Storage backends","Go",6,"$0 (open source, managed $50K+)","Provides observability for system health","All infrastructure ventures","Grafana, AlertManager, ELK","System observability"
Grafana,Infrastructure,"Visualization and dashboard platform","Dashboard creation, Multi-datasource support, Alerting, User management, Plugins","Prometheus, DuckDB, Supabase, Elasticsearch","Go, TypeScript",7,"$50K-200K/year (managed Grafana Cloud)","Visualizes metrics and business analytics","All analytics ventures, EDU-013, CON-001","Prometheus, DuckDB, Supabase, Loki","Metrics visualization"
DuckDB,Core Platform,"In-process SQL analytics engine","SQL querying, Data analysis, CSV/Parquet support, Aggregations, Export","CSV/Parquet files, Databases via connectors","C++, Python",8,"$200K-800K/year (white-label analytics)","Powers analytics layer, enables self-service reporting","EDU-013, CON-001, FIN-001, All analytics ventures","Supabase, PostgreSQL, Arrow, Grafana","Fast analytics engine"
LangGraph,Core Platform,"Framework for building autonomous agents","Agent orchestration, Tool calling, Multi-step reasoning, State management, Streaming","Python, LLM APIs (OpenAI, Anthropic, etc.)","Python, TypeScript",9,"$1M-5M/year (AI agent SaaS platform)","Powers autonomous decision-making for all ventures","EDU-013, CON-001, CON-011, FIN-001, All AI ventures","LangChain, OpenAI SDK, Claude API, Chroma","Agent orchestration foundation"
