Repository Name,Purpose,Category,Stage1_Demand,Stage1_Why,Stage2_Sales,Stage2_Why,Stage3_Fulfillment,Stage3_Why,Stage4_Founder_Removal,Stage4_Why,Stage5_Reinvestment,Stage5_Why
Supabase,"Managed PostgreSQL database + auth + realtime backend",Infrastructure,7,"Lead database + pipeline tracking",9,"CRM system, deal tracking, lead scoring",9,"Project/team visibility, delegation layer",9,"Team dashboards, self-serve metrics",9,"Revenue by source, cost by project"
Vercel,"Web hosting and deployment platform",Infrastructure,7,"Fast website deployment, lead capture form optimization",6,"Website performance = conversion",7,"Scales frontend without founder",6,"Easy deployment doesn't remove founder decisions",5,"No analytics insights"
Cloudflare,"CDN, DNS, security, and DDoS protection",Infrastructure,4,"Website speed helps conversion slightly",4,"Website reliability for sales",6,"Handles scale without founder work",3,"No decision support",2,"No business analytics"
Redis,"In-memory cache and data store",Infrastructure,3,"Not lead-gen focused",5,"Speeds up sales app",7,"Real-time coordination, reduces founder bottleneck",4,"Cache doesn't automate decisions",3,"Not for analytics"
PostgreSQL,"Relational database management system",Infrastructure,5,"Database is needed for lead tracking",7,"Stores lead/deal data",8,"Structured data for scaling",5,"Foundation only, doesn't remove decisions",7,"Stores financial data for analysis"
Docker,"Container runtime and orchestration",Infrastructure,2,"Not for lead gen",3,"Not for sales",6,"Deployment without founder involvement",4,"Containerization doesn't remove decisions",3,"Not for analytics"
Kubernetes,"Container orchestration platform",Infrastructure,1,"Not for lead gen",2,"Not for sales",7,"Scales infrastructure automatically",3,"Orchestration doesn't remove decisions",2,"Not for analytics"
Prometheus,"Monitoring and alerting platform",Infrastructure,2,"Not for lead gen",2,"Not for sales",6,"System monitoring, alerts founder to problems",7,"Team sees alerts, doesn't ask founder",7,"Monitors infrastructure costs"
Grafana,"Visualization and dashboard platform",Infrastructure,3,"Could visualize lead sources",5,"Could show sales pipeline",7,"Project delivery dashboards",8,"Team self-serve dashboards, founder removed",10,"Business metrics, ROI by channel"
DuckDB,"In-process SQL analytics engine",Core Platform,2,"Not for lead gen",2,"Not for sales",5,"Quick analytics for operations",6,"Self-service team queries",10,"Which lead source ROI? Unit economics? Optimal spend?"
LangGraph,"Framework for building autonomous agents",Core Platform,6,"Could automate lead qualification",8,"AI qualification of leads, auto-follow-up",8,"Automate repeatable workflows, remove founder decisions",9,"Autonomous decision automation",7,"Could optimize campaign spend"
Chroma,"Vector database for embeddings and semantic search",Core Platform,3,"Could power semantic lead search",5,"AI matching for sales",6,"AI-powered operations",7,"AI removes manual decisions",5,"Analytics via embeddings"
Claude API,"LLM inference and function calling via Anthropic",Core Platform,6,"AI lead scoring/qualification",9,"AI conversation for qualification",9,"Founder-removal via autonomous execution",9,"Autonomous founder replacement",7,"Could optimize based on LLM analysis"
