venture_id,agent_id
COMM-002-Brotherhood-Coaching-Network,T4_OPS_COORDINATOR_001
COMM-003-Ace-Senior-Care-Connect,T4_OPS_COORDINATOR_001
COMM-004-Community-Outreach-Nonprofit,T4_OPS_COORDINATOR_001
COMM-005-Ace-Food-Security-AI,T4_OPS_COORDINATOR_001
COMM-006-Community-Technology-Access-AI,T4_OPS_COORDINATOR_001
COMM-007-Youth-Leadership-AI,T4_OPS_COORDINATOR_001
COMM-008-Community-Fundraising-AI,T4_OPS_COORDINATOR_001
COMM-009-Volunteer-Hub-AI,T4_OPS_COORDINATOR_001
COMM-010-Disaster-Relief-AI,T4_OPS_COORDINATOR_001
COMM-011-Indigenous-Creator-Hub,T4_OPS_COORDINATOR_001
COMM-012-Black-Art-Museum-AI,T4_OPS_COORDINATOR_001
COMM-013-Women-s-Empowerment-Network,T4_OPS_COORDINATOR_001
COMM-014-Veterans-Support-AI,T4_OPS_COORDINATOR_001
COMM-015-Youth-Mentorship-Program,T4_OPS_COORDINATOR_001
COMM-016-Community-Health-AI,T4_OPS_COORDINATOR_001
COMM-017-Local-Business-Directory,T4_OPS_COORDINATOR_001
COMM-018-Neighborhood-Watch-AI,T4_OPS_COORDINATOR_001
COMM-019-Community-Garden-AI,T4_OPS_COORDINATOR_001
COMM-020-Public-Transportation-AI,T4_OPS_COORDINATOR_001
COMM-021-Housing-Assistance-AI,T4_OPS_COORDINATOR_001
COMM-022-Job-Training-Center,T4_OPS_COORDINATOR_001
COMM-023-Elder-Companion-AI,T4_OPS_COORDINATOR_001
COMM-024-Youth-Sports-AI,T4_OPS_COORDINATOR_001
COMM-025-Community-Legal-Aid,T4_OPS_COORDINATOR_001
COMM-026-Public-Education-AI,T4_OPS_COORDINATOR_001
COMM-027-Local-Government-AI,T4_OPS_COORDINATOR_001
COMM-028-Public-Safety-AI,T4_OPS_COORDINATOR_001
COMM-029-Community-Wellness-AI,T4_OPS_COORDINATOR_001
COMM-030-Cultural-Exchange-AI,T4_OPS_COORDINATOR_001
COMM-031-Community-Investment-AI,T4_OPS_COORDINATOR_001
COMM-032-Public-Health-AI,T4_OPS_COORDINATOR_001
COMM-033-Youth-Innovation-Hub,T4_OPS_COORDINATOR_001
COMM-034-Senior-Tech-Support,T4_OPS_COORDINATOR_001
COMM-035-Community-Arts-AI,T4_OPS_COORDINATOR_001
COMM-036-Public-Infrastructure-AI,T4_OPS_COORDINATOR_001
COMM-037-Neighborhood-Development-AI,T4_OPS_COORDINATOR_001
COMM-038-Community-Policing-AI,T4_OPS_COORDINATOR_001
COMM-039-Public-Space-AI,T4_OPS_COORDINATOR_001
COMM-040-Community-Recycling-AI,T4_OPS_COORDINATOR_001
COMM-041-Public-Wi-Fi-AI,T4_OPS_COORDINATOR_001
COMM-042-Community-Energy-AI,T4_OPS_COORDINATOR_001
COMM-043-Local-Food-Network-AI,T4_OPS_COORDINATOR_001
COMM-044-Community-Volunteering-AI,T4_OPS_COORDINATOR_001
