venture_id,venture_id_short,name,sector,stage,status,repo_id,health_score,business_model,layer,revenue_ytd,costs_mom,created_at,keywords
TECH-001-Quantum-Algorithm-AI,TECH-001,Quantum Algorithm Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-001-quantum-algorithm-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.530756,"TECH-001, Quantum Algorithm Ai, technology, technology"
TECH-002-AI-Compliance-Scanner,TECH-002,Ai Compliance Scanner,technology,planned,planned,https://github.com/Worldwidebro/tech-002-ai-compliance-scanner,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.530985,"TECH-002, Ai Compliance Scanner, technology, technology"
TECH-003-Cloud-Management-AI,TECH-003,Cloud Management Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-003-cloud-management-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.531944,"TECH-003, Cloud Management Ai, technology, technology"
TECH-004-Robotics-Training-AI,TECH-004,Robotics Training Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-004-robotics-training-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.532051,"TECH-004, Robotics Training Ai, technology, technology"
TECH-005-Customer-Insights-AI,TECH-005,Customer Insights Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-005-customer-insights-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.532144,"TECH-005, Customer Insights Ai, technology, technology"
TECH-006-Voice-Assistant-AI,TECH-006,Voice Assistant Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-006-voice-assistant-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.532248,"TECH-006, Voice Assistant Ai, technology, technology"
TECH-007-Blockchain-Verifier-AI,TECH-007,Blockchain Verifier Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-007-blockchain-verifier-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.532339,"TECH-007, Blockchain Verifier Ai, technology, technology"
TECH-008-Cybersecurity-Shield,TECH-008,Cybersecurity Shield,technology,planned,planned,https://github.com/Worldwidebro/tech-008-cybersecurity-shield,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.532418,"TECH-008, Cybersecurity Shield, technology, technology"
TECH-009-Content-Studio-AI,TECH-009,Content Studio Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-009-content-studio-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.532502,"TECH-009, Content Studio Ai, technology, technology"
TECH-010-Smart-Home-AI,TECH-010,Smart Home Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-010-smart-home-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.532583,"TECH-010, Smart Home Ai, technology, technology"
TECH-011-Supply-Chain-Optimizer,TECH-011,Supply Chain Optimizer,technology,planned,planned,https://github.com/Worldwidebro/tech-011-supply-chain-optimizer,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.532659,"TECH-011, Supply Chain Optimizer, technology, technology"
TECH-012-Data-Visualization-AI,TECH-012,Data Visualization Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-012-data-visualization-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.532741,"TECH-012, Data Visualization Ai, technology, technology"
TECH-013-Workflow-Automation,TECH-013,Workflow Automation,technology,planned,planned,https://github.com/Worldwidebro/tech-013-workflow-automation,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.532824,"TECH-013, Workflow Automation, technology, technology"
TECH-014-Sentiment-Analyzer,TECH-014,Sentiment Analyzer,technology,planned,planned,https://github.com/Worldwidebro/tech-014-sentiment-analyzer,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.532901,"TECH-014, Sentiment Analyzer, technology, technology"
TECH-015-Image-Recognition-AI,TECH-015,Image Recognition Ai,technology,planned,planned,https://github.com/Worldwidebro/tech-015-image-recognition-ai,40,technology-innovation,2,Pending,0,2026-06-04T16:29:52.532984,"TECH-015, Image Recognition Ai, technology, technology"
