venture_id,venture_name,opco,owner,status,revenue_ytd,monthly_burn,priority,90day_revenue_potential,team_size,notes
CON-001,LocalRoof Co,OPCO-Construction,antwuan-johns,Operating,45000,2000,HIGH,15000,2,5 active jobs - monthly contracts
ST-001,Temp Agency,OPCO-Staffing,recruiter-lead,Operating,32000,1500,HIGH,20000,3,Growing - need more recruiters
EC-001,E-Commerce Marketplace,OPCO-Marketplace,team-lead,Building,8000,10000,HIGH,50000,5,Beta testing with 50 vendors
FIN-001,GenixBank,OPCO-Financial,contractor-1,Research,0,5000,MEDIUM,0,2,Product development - not live
TECH-001,SaaS Platform,OPCO-Technology,dev-lead,Building,0,15000,MEDIUM,5000,2,MVP ready for launch
OPS-015,BPO Services,OPCO-Operations,ops-manager,Operating,18000,3000,HIGH,30000,4,Handle back-office for multiple clients
BW-001,Beauty Salon Network,OPCO-BeautyWellness,salon-manager,Idea,0,0,MEDIUM,0,0,Concept only
EDU-001,Online Academy,OPCO-Education,educator-lead,Research,0,2000,LOW,0,1,Market validation
HC-001,Home Health Services,OPCO-Healthcare,health-manager,Launching,0,4000,HIGH,12000,2,Ready to go live
RE-001,Property Management,OPCO-RealEstate,realtor,Operating,5000,1000,MEDIUM,8000,1,Managing 3 properties
