job_rank,job_title,company_name,location,work_type,salary_range,posted_date,match_score,job_url,description
1,Patient Care Assistant,Atrium Health - Women's Care,Charlotte NC,Full-time,$32000-$38000,2026-06-04,9.5,https://linkedin.com/jobs/patient-care-assistant-1,Direct patient care in OB/GYN clinic. Assist with procedures and patient comfort. HIPAA training provided.
2,Medical Assistant,CareCentrix Healthcare,Charlotte NC,Full-time,$30000-$36000,2026-06-03,9.2,https://linkedin.com/jobs/medical-assistant-1,Support clinical staff in busy medical office. Patient preparation and post-care. Health insurance included.
3,Patient Care Assistant,Novant Health Clinic,Charlotte NC,Full-time,$33000-$39000,2026-06-05,9.0,https://linkedin.com/jobs/patient-care-assistant-2,Work in pediatric or family medicine clinic. Patient support and clinical assistance. Growth opportunities.
4,Care Coordinator,Compassion Healthcare Solutions,Remote,Full-time,$35000-$41000,2026-06-02,8.8,https://linkedin.com/jobs/care-coordinator-1,Coordinate patient care schedules and support. Remote position. Flexible hours available.
5,Healthcare Support Specialist,Charlotte Regional Medical Center,Charlotte NC,Full-time,$31000-$37000,2026-06-01,8.7,https://linkedin.com/jobs/healthcare-support-1,General patient support role. Fast-paced environment. Entry-level friendly. Benefits start day 1.
6,Patient Care Assistant,Presbyterian Healthcare Services,Charlotte NC,Full-time,$32000-$38000,2026-06-04,8.5,https://linkedin.com/jobs/patient-care-assistant-3,Women's health clinic. Patient preparation and monitoring. HIPAA certification training provided.
7,Medical Assistant,QualityMed Practice Management,Charlotte NC,Full-time,$29000-$35000,2026-06-02,8.3,https://linkedin.com/jobs/medical-assistant-2,Multi-specialty medical practice. Assist with patient care and clinical tasks. Professional development support.
8,Home Health Aide,Visiting Angels Home Care,Charlotte NC,Full-time,$28000-$34000,2026-05-31,8.0,https://linkedin.com/jobs/home-health-aide-1,In-home patient care for seniors. Compassionate caregiving. Flexible scheduling available.
9,Care Coordinator,Evolent Health,Remote,Full-time,$36000-$42000,2026-06-03,7.9,https://linkedin.com/jobs/care-coordinator-2,Healthcare coordination and patient support. Remote work. Health insurance + 401k.
10,Nanny/Childcare Provider,Charlotte Family Services,Charlotte NC,Full-time,$30000-$36000,2026-06-01,7.7,https://linkedin.com/jobs/nanny-1,Full-time childcare coordinator. Schedule management and family support. Flexible schedule.
11,Patient Care Assistant,Duke HealthCare,Charlotte NC,Full-time,$33000-$39000,2026-06-02,7.6,https://linkedin.com/jobs/patient-care-assistant-4,Surgical/procedural clinic. Patient care and clinical support. Excellent benefits package.
12,Administrative Healthcare Assistant,Blue Cross Blue Shield NC,Charlotte NC,Full-time,$31000-$37000,2026-05-30,7.4,https://linkedin.com/jobs/admin-healthcare-1,Healthcare administration support. Patient interaction and scheduling. Professional environment.
13,Medical Assistant,Urgent Care Plus,Charlotte NC,Full-time,$28000-$34000,2026-06-04,7.2,https://linkedin.com/jobs/medical-assistant-3,Fast-paced urgent care setting. Patient care and clinical support. Shift flexibility.
14,Care Coordinator,Teladoc Health,Remote,Full-time,$37000-$43000,2026-06-01,7.0,https://linkedin.com/jobs/care-coordinator-3,Virtual healthcare coordination. Remote work. Competitive salary and benefits.
15,Patient Care Assistant,Carolinas HealthCare,Charlotte NC,Full-time,$32000-$38000,2026-06-05,6.9,https://linkedin.com/jobs/patient-care-assistant-5,General patient support. Multiple locations in Charlotte area. Career advancement opportunity.
