venture_id,name,sector,stage,status,required_capabilities,implemented_capabilities,coverage_pct
FIN-001-GenixBank-Lite,Genixbank Lite,financial,planned,planned,analytics;api;authentication;dashboard;database;payments;portfolio;security,agent;crm;dashboard;payments,25.0
FIN-002-Credit-Repair-Automation,Credit Repair Automation,financial,planned,planned,analytics;api;authentication;automation;dashboard;database;payments;portfolio;security,automation,11.1
FIN-003-AI-Boss-Hub-Lite,Ai Boss Hub Lite,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-004-GenixBanks-AI-Treasurer,Genixbanks Ai Treasurer,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-005-U-Haul-Rental-Affiliate,U Haul Rental Affiliate,financial,planned,planned,analytics;api;authentication;dashboard;database;payments;portfolio;security,agent;crm;dashboard;payments,25.0
FIN-006-Tax-Prep-Filing-Services,Tax Prep Filing Services,financial,planned,planned,analytics;api;authentication;dashboard;database;payments;portfolio;security,,0.0
FIN-007-Business-Credit-Building,Business Credit Building,financial,planned,planned,analytics;api;authentication;construction;dashboard;database;payments;portfolio;security,construction,11.1
FIN-008-Business-Formation-Services,Business Formation Services,financial,planned,planned,analytics;api;authentication;dashboard;database;payments;portfolio;security,,0.0
FIN-009-Crypto-Tax-Optimizer,Crypto Tax Optimizer,financial,planned,planned,analytics;api;authentication;dashboard;database;payments;portfolio;security,agent;crm;dashboard;payments,25.0
FIN-010-AI-Powered-Garbage-Collection,Ai Powered Garbage Collection,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-011-Automated-Bookkeeping,Automated Bookkeeping,financial,planned,planned,analytics;api;authentication;dashboard;database;payments;portfolio;security,agent;crm;dashboard;payments,25.0
FIN-012-Invoice-Factoring-AI,Invoice Factoring Ai,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-013-Charity-Donation-AI,Charity Donation Ai,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-014-Expense-Tracker-AI,Expense Tracker Ai,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-015-Financial-Wellness-Coach,Financial Wellness Coach,financial,planned,planned,analytics;api;authentication;dashboard;database;payments;portfolio;security,agent;crm;dashboard;payments,25.0
FIN-016-Trade-Finance-AI,Trade Finance Ai,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-017-Remittance-AI,Remittance Ai,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-018-Wealth-Transfer-AI,Wealth Transfer Ai,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-019-Payment-Gateway-AI,Payment Gateway Ai,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm;payments,22.2
FIN-020-Debt-Consolidation-AI,Debt Consolidation Ai,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
FIN-021-Tax-Deduction-Finder,Tax Deduction Finder,financial,planned,planned,analytics;api;authentication;dashboard;database;payments;portfolio;security,agent;automation;llm,0.0
FIN-022-Budget-Forecasting-AI,Budget Forecasting Ai,financial,planned,planned,analytics;api;authentication;dashboard;database;llm;payments;portfolio;security,llm,11.1
