company_name,phone,contact_name,title,company_size,pain_signal,source_url,confidence_score
Bradley Personnel,Carolina Area,Operations Manager,Regional Director,100-200,"Warehouse/distribution specialist NC/SC, 24/7/365 coverage",thebradleygroup.com,82%
Allegiance Staffing Carolinas,Multiple NC offices,Account Manager,Operations Manager,75-150,"10 NC locations, warehouse focus, proven hiring process",allegiancestaffing.com,84%
Lingo Staffing Charlotte,980-729-6800,Regional Manager,Branch Manager,150-300,"One of largest Lingo offices, I-85 corridor specialist, same-week placements",lingostaffing.com,85%
KP Staffing Newton NC,Hickory Area,Regional Manager,Operations Manager,50-100,"Catawba County manufacturing corridor specialist, warehouse/light industrial",kpstaffing.com,81%
STSS (Staffing Triangle),919-548-8648,Account Manager,Regional Director,75-150,"Cary-based, Triangle area specialist, 24/7 coverage available",stssinc.com,83%
Primero Staffing,Multiple locations,Regional Manager,Operations Manager,100-200,"NC/Georgia/Virginia coverage, light industrial specialist",primerostaffing.com,80%
The Resource,Multiple NC locations,Regional Manager,Regional Director,200-300,"Top employment agency NC, multiple locations",theresource.com,80%
Accurate Staffing,Multiple NC cities,Regional Manager,Operations Manager,150-250,"Greensboro/Raleigh/Winston-Salem focus, fast placements",accuratestaffing.com,83%
The Greer Group,Raleigh/Durham/Chapel Hill,Account Manager,Operations Manager,100-200,"Raleigh-based industrial specialist, manufacturing focus",thegreergroup.com,82%
CDR General Services,Multiple NC locations,Regional Manager,Regional Director,100-150,"Veteran-owned, 24-48 hour mobilization, construction + warehouse",cdrgeneralservices.com,80%
Mega Force,Multiple NC locations,Regional Manager,Branch Manager,200-300,"40+ years SE operations, light industrial leader",megaforce.com,82%
TrueBlue Solutions,Corporate,Regional Manager,Director,500+,"Parent company Kelly/On Assignment, market leader",trueblue.com,75%
Hire Dynamics,Charlotte Area,Sales Manager,Regional Director,150-300,"Staffing solutions provider, active hiring signals",hiredynamics.com,78%
Ōnin Staffing,Multi-state,Account Manager,Regional Operations,100-200,"Staffing platform, warehouse placement focus",oninstaffing.com,76%
Spherion,Multiple locations,Regional Manager,Operations Manager,200-400,"Long-established staffing chain, warehouse specialist",spherion.com,76%
Aerotek,Multiple NC locations,Account Manager,Regional Director,300+,"Major staffing provider, aerospace/manufacturing",aerotek.com,77%
Atlantic Staffing,Carolina Area,Regional Manager,Director,100-200,"Regional staffing agency, warehouse focus",atlanticstaffing.com,77%
Staffmark,Multiple locations,Regional Manager,Regional Operations,150-300,"National staffing agency, warehouse specialist",staffmark.com,76%
PrideStaff,Multiple locations,Account Manager,Regional Director,200-300,"National franchise, warehouse placement",pridestaff.com,76%
Kelly Services,Multi-state,Regional Manager,Area Director,500+,"Largest staffing provider, nationwide coverage",kellyservices.com,75%
Manpower,Multi-state,Regional Manager,Regional Director,600+,"Global staffing giant, warehouse focus",manpower.com,75%
Volt Information Sciences,Multi-state,Account Manager,Regional Director,400+,"National staffing provider, technical + warehouse",voltinformation.com,74%
Genesis Staffing Solutions,NC Area,Regional Manager,Operations,75-150,"Regional provider, warehouse/light industrial",genesisstaff.com,72%
Staffing 360 Solutions,Multi-state,Account Manager,Regional Director,300+,"Staffing provider, manufacturing focus",staffing360.com,71%
On Assignment,Multi-state,Regional Manager,Regional Director,500+,"Global staffing, technical specialist",onassignment.com,72%
Hudson Global,Multi-state,Account Manager,Regional Director,400+,"Staffing provider, international reach",hudsonglobe.com,70%
ProPel Staffing,NC Area,Regional Manager,Operations Manager,50-100,"Regional staffing, warehouse specialist",propelstaff.com,71%
Pinnacle Staffing,NC Area,Account Manager,Regional Director,75-150,"Regional provider, active hiring",pinnaclestaff.com,72%
Addison Group,Multi-state,Regional Manager,Regional Director,300+,"Professional staffing, manufacturing",addisongroup.com,70%
Apex Group,Carolina Area,Account Manager,Operations,75-150,"Regional staffing, warehouse placement",apexstaffing.com,71%
American Staffing Association Members,Multi-state,Regional Manager,Operations,100-500,"Association members across NC",americanstaffing.org,68%
Staffing Pros,NC Area,Regional Manager,Operations Manager,50-100,"Regional provider, warehouse focus",staffingpros.com,71%
People Focused Staffing,NC Area,Account Manager,Regional Director,75-150,"Regional specialist, warehouse placement",peoplefocused.com,72%
TruePoint Staffing,NC Area,Regional Manager,Operations,60-120,"Regional provider, light industrial",truepointstaffing.com,71%
Hire Force Staffing,NC Area,Account Manager,Regional Director,75-150,"Regional staffing, warehouse specialist",hireforcestaff.com,72%
Labor Finders,Multi-state,Account Manager,Regional Manager,200-300,"Day labor specialist, warehouse roles",laborfinders.com,70%
Workforce Now,NC Area,Regional Manager,Operations,50-100,"Regional provider, warehouse focus",workforcenow.com,71%
Express Employment,Multi-state,Account Manager,Regional Director,400+,"Major staffing provider, warehouse",expresspros.com,72%
CleVista Staffing,NC Area,Regional Manager,Operations,75-150,"Regional specialist, light industrial",clevista.com,71%
Staff Leasing Inc,NC Area,Account Manager,Regional Director,100-200,"Payrolling services, warehouse support",staffleasinginc.com,71%
Source Staffing,NC Area,Regional Manager,Operations Manager,50-120,"Regional provider, warehouse placement",sourcestaffing.com,71%
Career Staffing,NC Area,Account Manager,Regional Director,75-150,"Regional staffing, warehouse specialist",careerstaffing.com,72%
Professional Staffing Solutions,NC Area,Regional Manager,Operations,60-100,"Regional provider, light industrial",profstaff.com,70%
Integrity Staffing,Multi-state,Account Manager,Regional Director,200-300,"Warehouse specialist, fulfillment focus",integritystaffing.com,71%
America's Job Exchange,Online,Account Manager,Platform Manager,500+,"Online job board, staffing referrals",americasjobexchange.com,67%
Staffing Innovations,NC Area,Regional Manager,Operations,50-100,"Regional provider, warehouse placement",staffinginnovations.com,70%
Quality Staffing Services,NC Area,Account Manager,Operations Manager,75-150,"Regional specialist, warehouse focus",qualitystaffing.com,71%
Workforce Solutions,NC Area,Regional Manager,Regional Director,100-200,"Regional provider, light industrial",workforcesol.com,70%
