repo_name,is_starred,public_access,requires_auth,integration_scope,categorization,notes
civilization-os,true,false,true,system-wide,Foundation OS,"Knowledge graph backbone, Obsidian integration, all ventures depend"
iza-os-rag-system,true,false,true,system-wide,Foundation RAG,"Semantic indexing, MCP server hub, required by all agents"
the-office,true,false,true,system-wide,Core Dashboard,"Unified workspace, team coordination, internal use only"
venture-hub,true,false,true,system-wide,Core Platform,"Venture management, ClickUp bridge, all ventures depend"
venture-factory-core,true,false,true,system-wide,Core Factory,"Venture provisioning, agent deployment, infrastructure"
autonomous-venture-studio,true,false,true,system-wide,Core Simulation,"Venture simulation, autonomous testing, decision logging"
pitch-kit,true,true,false,venture-agnostic,Template Public,"Pitch deck generator, investor outreach, no auth required"
ai-venture-studio-template,true,true,false,venture-specific,Template Public,"Venture onboarding scaffold, customizable per venture"
business-template-marketplace,true,true,false,venture-agnostic,Marketplace Public,"Template search and licensing, revenue sharing"
con-001-ace-construction,true,true,false,venture-specific,Venture Public,"HVAC services customer portal, Stripe integration"
con-012-hvac-services,true,true,false,venture-specific,Venture Public,"HVAC dispatch and scheduling, payment processing"
lt-009-hvac-technician-dispatch,true,false,true,venture-specific,Venture Internal,"Technician scheduling, route optimization, internal dispatch"
