repo_name,repo_slug,category,subcategory,assigned_team,language,description,owner
ai-002-ml-engine,,other,other,COO,,Machine learning models and training pipelines for CogniFlow.,
ai-002-web-app,,other,other,COO,,Frontend application for CogniFlow's workflow management.,
ai-boss-holdings-v4,,other,other,COO,Python,AI Boss Holdings platform v4,
ai-business-commander,,other,other,COO,TypeScript,AI-powered business management command center,
ai-venture-studio-template,,templates,reusable-templates,Tech Manager,Python,Template for creating AI-powered venture studios,
aibossoslandingpage,,other,other,COO,Python,AI Boss Holdings landing page,
arbitrage-nexus,,experimental,research-development,Tech Manager,TypeScript,Arbitrage opportunity detection and execution platform,
autonomous-venture-studio,,other,other,COO,Python,Core business logic & orchestration system for autonomous venture studio,
avs-omni,,other,other,COO,Python,IZA OS: avs-omni,
Avs-Omni-,,other,other,COO,Python,The operating system for an autonomous venture studio,
babystepsmatrix1,,other,other,COO,TypeScript,Archive: Old project (candidate for deletion),
billionaire-workflow-automation,,other,other,COO,Python,Workflow automation for billionaire consciousness empire,
civilization-os,,other,other,COO,TypeScript,"🌍 Civilization OS - Master orchestrator for the entire IZA-OS ecosystem, managing 101 genius folders",
civilization-website,,other,other,COO,,"Full-stack website built with React, Vite, and Supabase - Part of Civilization OS integration",
claude-workflow-demo,,other,other,COO,Shell,Demo of Claude PR review automation with GitHub Actions,
clients,,other,other,COO,HTML,"Client management, agreements, onboarding systems, and lead generation",
consciousness-deployment-system,,infrastructure,platform-infrastructure,Tech Manager,Python,Autonomous deployment system for billionaire consciousness empire,
consult-001-venture-consulting,,other,other,COO,,"Civilization OS: Strategy + operations consulting for 749 ventures (growth, M&A, board advisory)",
consulting-services-automation,,other,other,COO,Python,Consulting and advisory automation for billionaire consciousness empire,
data-management,,other,other,COO,,Unified data schemas and management systems,
deployment-orchestrator,,infrastructure,platform-infrastructure,Tech Manager,Python,Complete Docker & deployment automation system,
design-system,,other,other,COO,Shell,,
design-team,,other,other,COO,JavaScript,"Design system, brand guidelines, and 250+ prompts for venture studio",
ec-111-tve-fragrance,,other,other,COO,Python,,
education-platform-system,,other,other,COO,Python,Educational services platform for billionaire consciousness empire,
enhanced-cursor-rules,,templates,reusable-templates,Tech Manager,Shell,"Enhanced Cursor Rules for AI Development: 47+ comprehensive rule files for Cursor, Windsurf, Claude ",
ft-001-api-gateway,,infrastructure,platform-infrastructure,Tech Manager,,API gateway for external services to interact with the QuantumLedger.,
ft-001-core-ledger,,other,other,COO,,Core decentralized ledger and smart contract code for QuantumLedger.,
ft-001-docs,,other,other,COO,,"Documentation, whitepapers, and technical specifications for QuantumLedger.",
fund-001-civilization-credit-fund,,other,other,COO,Python,"Civilization OS: Internal lending + grant writing for 749 ventures (loans, SBIR/STTR grants, equipme",
genixbank-financial-system,,shared_services,financial-operations,CFO,HTML,Comprehensive financial operations & banking platform,
genixbank-insight-compass,,shared_services,financial-operations,CFO,TypeScript,GenixBank financial insights and analytics platform,
global-operations-automation,,other,other,COO,Python,International operations automation for billionaire consciousness empire,
ht-004-data-api,,other,other,COO,,Secure API for handling sensitive patient data for VitalSense.,
ht-004-firmware,,other,other,COO,,Embedded software for the VitalSense wearable device.,
ht-004-mobile-app,,other,other,COO,,Mobile application (iOS/Android) for VitalSense data visualization.,
innovation-hub-platform,,other,other,COO,Python,Innovation and R&D platform for billionaire consciousness empire,
ins-001-venture-insurance,,other,other,COO,,"Civilization OS: Insurance broker for 749 ventures (liability, property, workers comp, cyber)",
intellectual-property-management,,other,other,COO,Python,IP management system for billionaire consciousness empire,
investment-fund-management,,other,other,COO,Python,Investment management system for billionaire consciousness empire,
iza-os-agents,,other,other,COO,Python,"Modular agents (finance, marketing, QA, etc.)",
iza-os-ai-consciousness-platform,,other,other,COO,Python,Consciousness AI platform for billionaire consciousness empire,
iza-os-ai-core-platform,,other,other,COO,Python,Core AI systems platform for billionaire consciousness empire,
iza-os-ai-nlp-platform,,experimental,research-development,Tech Manager,Python,Natural language processing platform for billionaire consciousness empire,
iza-os-ai-optimization-platform,,other,other,COO,Python,Optimization algorithms platform for billionaire consciousness empire,
iza-os-ai-orchestration,,other,other,COO,,🎪 AI Orchestration - Multi-AI coordination,
iza-os-ai-prediction-platform,,other,other,COO,Python,Predictive analytics platform for billionaire consciousness empire,
iza-os-ai-vision-platform,,other,other,COO,Python,Computer vision platform for billionaire consciousness empire,
iza-os-analytics,,shared_services,shared-infrastructure,COO,Python,IZA OS: Analytics and reporting engine,
iza-os-api-gateway-bot,,infrastructure,platform-infrastructure,Tech Manager,Python,🌐 API Gateway Bot - API management and routing automation,
iza-os-automation,,other,other,COO,Python,⚙️ IZA OS Automation - Workflow automation and orchestration,
iza-os-automation-integration,,other,other,COO,Python,Automation integration platform for billionaire consciousness empire,
iza-os-blockchain-core,,experimental,research-development,Tech Manager,Python,Blockchain core platform for billionaire consciousness empire,
iza-os-business,,other,other,COO,Python,IZA OS: Business logic core module,
iza-os-cli,,other,other,COO,Python,IZA OS: iza-os-cli,
iza-os-computer-vision,,experimental,research-development,Tech Manager,,👁️ Computer Vision - Image and video analysis,
iza-os-core,,other,other,COO,TypeScript,"🧠 IZA OS - Intelligent Zero-Administration Operating System | Your AI CEO that finds problems, launc",
iza-os-cryptocurrency-management,,other,other,COO,Go,Cryptocurrency management platform for billionaire consciousness empire,
iza-os-customer-core,,other,other,COO,,"🤝 Unified Customer Experience Platform - Support, Communication, Satisfaction, Engagement",
iza-os-customer-service-automation-bot,,shared_services,shared-infrastructure,COO,TypeScript,Advanced customer service automation for billionaire consciousness empire,
iza-os-customer-service-chatbot-bot,,shared_services,shared-infrastructure,COO,TypeScript,Advanced customer service chatbot for billionaire consciousness empire,
iza-os-customer-service-email-bot,,shared_services,shared-infrastructure,COO,TypeScript,Advanced customer service email automation for billionaire consciousness empire,
iza-os-customer-service-escalation-bot,,shared_services,shared-infrastructure,COO,TypeScript,Advanced customer service escalation automation for billionaire consciousness empire,
iza-os-customer-service-faq-bot,,shared_services,shared-infrastructure,COO,TypeScript,Advanced customer service FAQ automation for billionaire consciousness empire,
iza-os-customer-service-knowledge-bot,,shared_services,shared-infrastructure,COO,TypeScript,Advanced customer service knowledge management for billionaire consciousness empire,
iza-os-customer-service-phone-bot,,shared_services,shared-infrastructure,COO,TypeScript,Advanced customer service phone automation for billionaire consciousness empire,
iza-os-customer-service-social-bot,,shared_services,shared-infrastructure,COO,TypeScript,Advanced customer service social media automation for billionaire consciousness empire,
iza-os-customer-service-ticket-bot,,shared_services,shared-infrastructure,COO,TypeScript,Advanced customer service ticket management for billionaire consciousness empire,
iza-os-cybersecurity-monitoring-bot,,infrastructure,platform-infrastructure,Tech Manager,Python,🔒 Cybersecurity Monitoring Bot - Advanced threat detection and response,
iza-os-data,,other,other,COO,Python,ETL pipelines + datasets + knowledge graph,
iza-os-data-integration-hub,,other,other,COO,Python,Data integration hub for billionaire consciousness empire,
iza-os-defi-platform,,experimental,research-development,Tech Manager,Python,DeFi operations platform for billionaire consciousness empire,
iza-os-deployment-automation-bot,,infrastructure,platform-infrastructure,Tech Manager,Python,🚀 Deployment Automation Bot - Automated deployment and scaling,
iza-os-docs,,other,other,COO,Python,IZA OS: iza-os-docs,
iza-os-ecosystem,,infrastructure,platform-infrastructure,Tech Manager,TypeScript,IZA OS: Core ecosystem integration layer,
iza-os-embedding-service,,experimental,research-development,Tech Manager,,📊 Embedding Service - Text and data embedding,
iza-os-enterprise,,other,other,COO,TypeScript,🏢 IZA OS Enterprise - Business intelligence and revenue optimization,
iza-os-enterprise-integrations,,infrastructure,platform-infrastructure,Tech Manager,Python,Enterprise integrations platform for billionaire consciousness empire,
iza-os-finance-advisor-alerting-bot,,shared_services,financial-operations,CFO,Python,🤖 Finance Advisor Bot - Alerting automation and intelligence,
iza-os-finance-advisor-analytics-bot,,shared_services,financial-operations,CFO,Python,🤖 Finance Advisor Bot - Analytics automation and intelligence,
iza-os-finance-advisor-automation-bot,,shared_services,financial-operations,CFO,Python,🤖 Finance Advisor Bot - Automation automation and intelligence,
iza-os-finance-advisor-compliance-bot,,shared_services,financial-operations,CFO,Python,🤖 Finance Advisor Bot - Compliance automation and intelligence,
iza-os-finance-advisor-discovery-bot,,shared_services,financial-operations,CFO,Python,🤖 Finance Advisor Bot - Discovery automation and intelligence,
iza-os-finance-advisor-forecasting-bot,,shared_services,financial-operations,CFO,Python,Advanced financial forecasting bot for billionaire consciousness empire,
iza-os-finance-advisor-integration-bot,,shared_services,financial-operations,CFO,Python,🤖 Finance Advisor Bot - Integration automation and intelligence,
iza-os-finance-advisor-intelligence-bot,,shared_services,financial-operations,CFO,Python,🤖 Finance Advisor Bot - Intelligence automation and intelligence,
iza-os-finance-advisor-management-bot,,shared_services,financial-operations,CFO,Python,🤖 Finance Advisor Bot - Management automation and intelligence,
iza-os-finance-advisor-monitoring-bot,,infrastructure,platform-infrastructure,Tech Manager,Python,🤖 Finance Advisor Bot - Monitoring automation and intelligence,
iza-os-finance-advisor-optimization-bot,,shared_services,financial-operations,CFO,Python,🤖 Finance Advisor Bot - Optimization automation and intelligence,
iza-os-finance-advisor-orchestration-bot,,shared_services,financial-operations,CFO,Python,🤖 Finance Advisor Bot - Orchestration automation and intelligence,
iza-os-finance-advisor-processing-bot,,shared_services,financial-operations,CFO,Python,🤖 Finance Advisor Bot - Processing automation and intelligence,
iza-os-finance-advisor-reporting-bot,,shared_services,financial-operations,CFO,Python,🤖 Finance Advisor Bot - Reporting automation and intelligence,
iza-os-finance-advisor-security-bot,,shared_services,financial-operations,CFO,Python,🤖 Finance Advisor Bot - Security automation and intelligence,
iza-os-finance-advisor-synthesis-bot,,shared_services,financial-operations,CFO,Python,🤖 Finance Advisor Bot - Synthesis automation and intelligence,
iza-os-financial-core,,other,other,COO,Python,"🏦 Unified Financial Services Platform - Forecasting, Advisory, Compliance, Analytics, Investment Man",
iza-os-funding,,other,other,COO,Python,IZA OS: iza-os-funding,
iza-os-hr-analytics-bot,,shared_services,human-resources,COO+CFO,Python,Advanced HR analytics automation for billionaire consciousness empire,
iza-os-hr-benefits-bot,,shared_services,human-resources,COO+CFO,Python,Advanced HR benefits management for billionaire consciousness empire,
iza-os-hr-compliance-bot,,shared_services,human-resources,COO+CFO,Python,Advanced HR compliance automation for billionaire consciousness empire,
iza-os-hr-core,,shared_services,human-resources,COO+CFO,,"👥 Unified HR Platform - Recruitment, Benefits, Performance, Compliance, Employee Experience",
