sector,venture_id,venture_name,decision_maker_title,decision_maker_email,phone_number,competitor_1,competitor_2,call_script_focus,research_week,priority
STAFFING,OPS-001,Venture-Staffing,VP-Talent,hunter.io-lookup,hunter.io-lookup,OnShift,Deputy,Availability-Sync-&-Real-Time-Scheduling,Week-1,PILOT
CONSTRUCTION,CON-001,ACE-CONSTRUCTION,Project-Manager,hunter.io-lookup,hunter.io-lookup,StructionSite,Bridgit,Project-Timeline-Tracking-&-Budget-Mgmt,Week-1,PILOT
CONSTRUCTION,CON-011,ELECTRICAL-SERVICES,Operations-Director,hunter.io-lookup,hunter.io-lookup,ServiceTitan,Housecall-Pro,Mobile-Dispatch-&-Job-Scheduling,Week-2,PILOT
REAL-ESTATE,RE-001,Property-Holdings,Asset-Manager,hunter.io-lookup,hunter.io-lookup,Zillow-for-Business,CoStar,Automated-Property-Valuation-&-Comparables,Week-2,PILOT
FINANCE,FIN-001,GenixBank-Lite,CFO,hunter.io-lookup,hunter.io-lookup,Carta,AngelList,Investor-Relations-&-Deal-Flow-Management,Week-3,PILOT
FINANCE,FIN-011,Automated-Bookkeeping,Accounting-Head,hunter.io-lookup,hunter.io-lookup,QuickBooks-Online,FreshBooks,AI-Receipt-Parsing-&-GL-Automation,Week-3,PILOT
EDUCATION,EDU-006,Homeschooling-Content-AI,Curriculum-Director,hunter.io-lookup,hunter.io-lookup,Coursera,Udemy,Multi-Modal-Content-Atomization-&-Personalization,Week-4,PILOT
LOGISTICS,LT-001,Truck-Dispatch-Company,Dispatch-Manager,hunter.io-lookup,hunter.io-lookup,Samsara,Geotab,Real-Time-Route-Optimization-&-Asset-Tracking,Week-4,PILOT
E-COMMERCE,EC-001,Angels-in-Daylight,Product-Manager,hunter.io-lookup,hunter.io-lookup,Shopify,WooCommerce,AI-Product-Discovery-&-Personalized-Merchandising,Week-5,EXPAND
TECHNOLOGY,TECH-001,Quantum-Algorithm-AI,CTO,hunter.io-lookup,hunter.io-lookup,OpenAI-API,Anthropic-API,ML-Model-Deployment-&-Inference-Optimization,Week-5,EXPAND
OPERATIONS,OPS-001,Fractional-CTO,Business-Owner,hunter.io-lookup,hunter.io-lookup,Upland-Software,ServiceNow,Workflow-Automation-&-Process-Mining,Week-6,EXPAND
MEDIA-CONTENT,MC-001,YouTube-Channel-Network,Network-Director,hunter.io-lookup,hunter.io-lookup,Creator-Studio,VidIQ,Multi-Channel-Analytics-&-Audience-Insights,Week-6,EXPAND
PROFESSIONAL-SERVICES,PS-001,Business-Consulting,Managing-Partner,hunter.io-lookup,hunter.io-lookup,Bain-Company,McKinsey,Automated-Engagement-Scoping-&-Delivery-Tracking,Week-7,EXPAND
BEAUTY-WELLNESS,BW-001,Lash-Extension-Studio,Operations-Manager,hunter.io-lookup,hunter.io-lookup,Mindbody,Booker,Appointment-Scheduling-&-Client-Retention-AI,Week-7,EXPAND
FOOD-HOSPITALITY,FH-001,Personal-Chef-Service,Business-Owner,hunter.io-lookup,hunter.io-lookup,Toast-POS,Square,Meal-Prep-Planning-&-Pricing-Optimization,Week-8,EXPAND
SOFTWARE-TECHNOLOGY,ST-001,SaaS-Platform,Product-Lead,hunter.io-lookup,hunter.io-lookup,Stripe,Twilio,Developer-Experience-&-API-Monetization,Week-8,EXPAND
COMMUNITY,COMM-001,Luminary-Worldwide-Events,Events-Director,hunter.io-lookup,hunter.io-lookup,Eventbrite,Splash,Community-Engagement-&-Event-ROI-Tracking,Week-9,EXPAND
EMERGING,EM-001,Space-Habitat-AI,Chief-Scientist,hunter.io-lookup,hunter.io-lookup,SpaceX,Blue-Origin,Hardware-AI-Integration-&-Simulation,Week-9,EXPAND
