Venture_Type,Layer,Revenue_Model,Avg_Monthly_Revenue,COGS_Percent,Operating_Costs,Monthly_Profit,Profit_Margin_Percent,Examples,Notes
Service_Labor,1,Time-for-money,3000-5000,45,800,1200-2200,40-44,"Construction, Staffing, Consulting","High COGS due to subcontractor splits. Leverage = team size."
Service_Scaled,1,Systemized service,8000-15000,35,2000,3000-8000,38-53,"Home Services, Recruitment, Project Mgmt","Mature services with templates. COGS drops as process improves."
Digital_Product_SaaS,2,Recurring revenue,2000-5000,20,1500,300-2500,15-50,"HRMS, Tools, Platforms","Low COGS (hosting). Profit scales with subscribers. High profit margin potential."
Digital_Product_Templates,2,One-time sales,1500-3000,10,1000,400-1900,27-63,"Pitch Kit, Frameworks, Scripts","Lowest COGS. Can be duplicated infinitely. Requires marketing."
Digital_Content_Course,2,Subscription,1000-3000,5,800,200-2200,20-73,"YouTube Academy, Courses, Memberships","Almost no COGS. High marketing cost. Success depends on audience."
Marketplace_Aggregator,2,Commission,2000-6000,30,2000,-200-3000,0-50,"Component Hub, Capabilities Exchange","Takes time to reach critical mass. High operating cost (platform). Variable."
SMB_Acquisition_Local,3,Operational buyout,5000-20000,50,1500,1000-7500,20-50,"Construction firm, Staffing agency, Real estate","ROI = 34% on purchase price. Profit from operations + optimization."
SMB_Acquisition_Passive,3,Portfolio hold,3000-15000,55,500,800-5200,27-50,"Passive holdings, Acquired franchises","Lower operating cost (hands-off). Lower profit but stable."
Stocks_Dividend,4,Portfolio yield,1000-3000,0,100,900-2900,90-97,"Index funds, Dividend stocks","Near-zero COGS. Requires capital. Very scalable."
Crypto_Yield,4,DeFi strategies,500-2000,5,200,280-1710,56-86,"Staking, Liquidity pools, Arbitrage","High volatility. Lower barriers. Requires expertise."
Real_Estate_Rental,3,Passive income,4000-12000,40,1500,900-5400,22-60,"Properties, Passive holdings","Requires upfront capital. Stable. Tangible asset."
Agency_Service,1,Billable hours,4000-8000,40,1200,1600-4000,40-50,"Consulting, Freelance, Contracting","Similar to Service_Labor but higher rate."
Training_Certification,2,Premium content,3000-8000,15,1500,600-5200,20-65,"Training, Certifications, Bootcamps","One-time recording cost. Recurring revenue. High profit potential."
Affiliate_Network,2,Commission sales,1000-4000,100,-500,-500-1000,-50-25,"Affiliate marketing, Referral networks","Negative margins at scale. Used for top-of-funnel."
