venture_number,venture_id,venture_name,canonical_sector_id,canonical_sector_name,opco_id,executive_division,business_archetype,portfolio_horizon,development_stage,github_repo_url,live_front_door_url
1,FIN-001,Genixbank Lite,SEC-008,Financial Services,OpCo-008,02. Finance & Capital,Contract Cash Flow (B2B Services),H2: Fast-Follow Feeders,planned,https://github.com/Worldwidebro/fin-001-genixbank-lite,https://worldwidebro.github.io/genixbank-lite/
2,FIN-002,Credit Repair Automation,SEC-008,Financial Services,OpCo-008,02. Finance & Capital,Contract Cash Flow (B2B Services),H2: Fast-Follow Feeders,planned,https://github.com/Worldwidebro/fin-002-credit-repair-automation,https://worldwidebro.github.io/credit-repair-automation/
3,FIN-003,Ai Boss Hub Lite,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-003-ai-boss-hub-lite,https://worldwidebro.github.io/ai-boss-hub-lite/
4,FIN-004,Genixbanks Ai Treasurer,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-004-genixbanks-ai-treasurer,https://worldwidebro.github.io/genixbanks-ai-treasurer/
5,FIN-005,U Haul Rental Affiliate,SEC-008,Financial Services,OpCo-008,02. Finance & Capital,Contract Cash Flow (B2B Services),H2: Fast-Follow Feeders,planned,https://github.com/Worldwidebro/fin-005-u-haul-rental-affiliate,https://worldwidebro.github.io/u-haul-rental-affiliate/
6,FIN-006,Tax Prep Filing Services,SEC-008,Financial Services,OpCo-008,02. Finance & Capital,Contract Cash Flow (B2B Services),H2: Fast-Follow Feeders,planned,https://github.com/Worldwidebro/fin-006-tax-prep-filing-services,https://worldwidebro.github.io/tax-prep-filing-services/
7,FIN-007,Business Credit Building,SEC-008,Financial Services,OpCo-008,02. Finance & Capital,Contract Cash Flow (B2B Services),H2: Fast-Follow Feeders,planned,https://github.com/Worldwidebro/fin-007-business-credit-building,https://worldwidebro.github.io/business-credit-building/
8,FIN-008,Business Formation Services,SEC-008,Financial Services,OpCo-008,02. Finance & Capital,Contract Cash Flow (B2B Services),H2: Fast-Follow Feeders,planned,https://github.com/Worldwidebro/fin-008-business-formation-services,https://worldwidebro.github.io/business-formation-services/
9,FIN-009,Crypto Tax Optimizer,SEC-034,Decentralized & Web3,OpCo-034,02. Finance & Capital,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-009-crypto-tax-optimizer,https://worldwidebro.github.io/crypto-tax-optimizer/
10,FIN-010,Ai Powered Garbage Collection,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-010-ai-powered-garbage-collection,https://worldwidebro.github.io/ai-powered-garbage-collection/
11,FIN-011,Automated Bookkeeping,SEC-008,Financial Services,OpCo-008,02. Finance & Capital,Contract Cash Flow (B2B Services),H2: Fast-Follow Feeders,planned,https://github.com/Worldwidebro/fin-011-automated-bookkeeping,https://worldwidebro.github.io/automated-bookkeeping/
12,FIN-012,Invoice Factoring Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-012-invoice-factoring-ai,https://worldwidebro.github.io/invoice-factoring-ai/
13,FIN-013,Charity Donation Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-013-charity-donation-ai,https://worldwidebro.github.io/charity-donation-ai/
14,FIN-014,Expense Tracker Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-014-expense-tracker-ai,https://worldwidebro.github.io/expense-tracker-ai/
15,FIN-015,Financial Wellness Coach,SEC-001,Beauty & Wellness,OpCo-001,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-015-financial-wellness-coach,https://worldwidebro.github.io/financial-wellness-coach/
16,FIN-016,Trade Finance Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-016-trade-finance-ai,https://worldwidebro.github.io/trade-finance-ai/
17,FIN-017,Remittance Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-017-remittance-ai,https://worldwidebro.github.io/remittance-ai/
18,FIN-018,Wealth Transfer Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-018-wealth-transfer-ai,https://worldwidebro.github.io/wealth-transfer-ai/
19,FIN-019,Payment Gateway Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-019-payment-gateway-ai,https://worldwidebro.github.io/payment-gateway-ai/
