"ID","Name","Sector","Stage"
"null","Genixbank Lite","Financial","planned"
"null","Credit Repair Automation","Financial","planned"
"null","Ai Boss Hub Lite","Financial","planned"
"null","Genixbanks Ai Treasurer","Financial","planned"
"null","U Haul Rental Affiliate","Financial","planned"
"null","Tax Prep Filing Services","Financial","planned"
"null","Business Credit Building","Financial","planned"
"null","Business Formation Services","Financial","planned"
"null","Crypto Tax Optimizer","Financial","planned"
"null","Ai Powered Garbage Collection","Financial","planned"
"null","Automated Bookkeeping","Financial","planned"
"null","Invoice Factoring Ai","Financial","planned"
"null","Charity Donation Ai","Financial","planned"
"null","Expense Tracker Ai","Financial","planned"
"null","Financial Wellness Coach","Financial","planned"
"null","Trade Finance Ai","Financial","planned"
"null","Remittance Ai","Financial","planned"
"null","Wealth Transfer Ai","Financial","planned"
"null","Payment Gateway Ai","Financial","planned"
"null","Debt Consolidation Ai","Financial","planned"
"null","Tax Deduction Finder","Financial","planned"
"null","Budget Forecasting Ai","Financial","planned"
"null","Investment Portfolio Ai","Financial","planned"
"null","Crowdfunding Ai","Financial","planned"
"null","Escrow Automation","Financial","planned"
"null","Financial Compliance Scanner","Financial","planned"
"null","Patent Writer Ai","Financial","planned"
"null","Legal Analyzer Ai","Financial","planned"
"null","Compliance Wallet Saas","Financial","planned"
"null","Local Seo Ranker Ai","Financial","planned"
"null","Investor Dashboard Builder","Financial","planned"
"null","Legal Toolkit Ai","Financial","planned"
"null","Ai Tax Preparation Service","Financial","planned"
"null","Payroll Automation","Financial","planned"
"null","Insurance Underwriting Ai","Financial","planned"
"null","Arbitrage Nexus Platform","Financial","growth"
"null","Lash Extension Studio","Beauty Wellness","validation"
"null","Mobile Lash Service","Beauty Wellness","mvp"
"null","Luxury Lash Bar","Beauty Wellness","validation"
"null","Lash Training Academy","Beauty Wellness","validation"
"null","Lash Supply Company","Beauty Wellness","mvp"
"null","Lash Glue Brand","Beauty Wellness","validation"
"null","Lash Kits & Tools","Beauty Wellness","mvp"
"null","Private Label Lashes","Beauty Wellness","planned"
"null","Franchise Lash Salons","Beauty Wellness","planned"
"null","Online Lash Education","Beauty Wellness","mvp"
"null","Nail Salon","Beauty Wellness","validation"
"null","Mobile Nail Tech","Beauty Wellness","mvp"
"null","Luxury Nail Spa","Beauty Wellness","validation"
"null","Press On Nail Brand","Beauty Wellness","mvp"
"null","Nail Art Studio","Beauty Wellness","validation"
"null","Nail Polish Brand","Beauty Wellness","mvp"
"null","Nail Care Products","Beauty Wellness","mvp"
"null","Nail Booking Marketplace","Beauty Wellness","planned"
"null","Salon Management Software","Beauty Wellness","planned"
"null","Ai Nail Design Generator","Beauty Wellness","planned"
"null","Hair Salon","Beauty Wellness","validation"
"null","Barbershop","Beauty Wellness","validation"
"null","Mobile Hairstyling","Beauty Wellness","mvp"
"null","Hair Braiding Studio","Beauty Wellness","validation"
"null","Wig Installation Studio","Beauty Wellness","validation"
"null","Hair Extension Salon","Beauty Wellness","validation"
"null","Hair Care Line","Beauty Wellness","mvp"
"null","Wig Brand","Beauty Wellness","mvp"
"null","Hair Extensions Brand","Beauty Wellness","mvp"
"null","Scalp Treatment Products","Beauty Wellness","validation"
"null","Hair Marketplace","Beauty Wellness","planned"
"null","Stylist Booking Platform","Beauty Wellness","planned"
"null","Ai Hairstyle Simulator","Beauty Wellness","planned"
"null","Salon Franchise Chain","Beauty Wellness","planned"
"null","Makeup Studio","Beauty Wellness","validation"
"null","Bridal Makeup Service","Beauty Wellness","mvp"
"null","Mobile Makeup Artist","Beauty Wellness","mvp"
"null","Photoshoot Makeup Team","Beauty Wellness","validation"
"null","Cosmetics Brand","Beauty Wellness","mvp"
"null","Beauty Tools Brand","Beauty Wellness","mvp"
"null","Personal Chef Service","Hospitality","mvp"
"null","Meal Prep Delivery","Hospitality","mvp"
"null","Private Dinner Experiences","Hospitality","validation"
"null","Catering Company","Hospitality","validation"
"null","Corporate Lunch Service","Hospitality","mvp"
"null","Healthy Meal Prep For Gyms","Hospitality","mvp"
"null","Elderly Meal Service","Hospitality","validation"
"null","Athlete Nutrition Service","Hospitality","mvp"
"null","Packaged Food Brand","Hospitality","validation"
"null","Frozen Meals Company","Hospitality","validation"
"null","Sauce Or Seasoning Brand","Hospitality","mvp"
"null","Protein Snacks Brand","Hospitality","mvp"
"null","Meal Kit Company","Hospitality","validation"
"null","Cloud Kitchen ","Hospitality","planned"
"null","Ai Nutrition Planner","Hospitality","planned"
"null","Recipe App","Hospitality","mvp"
"null","Cooking Content Brand","Hospitality","mvp"
"null","Food Influencer Brand","Hospitality","mvp"
"null","Cooking Course Platform","Hospitality","mvp"
"null","Restaurant Pos System","Hospitality","planned"
"null","Food Truck Business","Hospitality","validation"
"null","Specialty Coffee Shop","Hospitality","validation"
"null","Bakery & Pastry Shop","Hospitality","validation"
"null","Juice Bar","Hospitality","mvp"
"null","Ice Cream Shop","Hospitality","validation"
"null","Gourmet Food Market","Hospitality","validation"
"null","Food Delivery Platform","Hospitality","planned"
"null","Restaurant Management Saas","Hospitality","planned"
"null","Food Quality Testing Lab","Hospitality","planned"
"null","Organic Food Brand","Hospitality","mvp"
"null","Vegan Food Company","Hospitality","mvp"
"null","Keto Meal Service","Hospitality","mvp"
"null","Food Photography Service","Hospitality","mvp"
"null","Restaurant Consulting","Hospitality","mvp"
"null","Food Safety Training","Hospitality","validation"
"null","Gym","Staffing","validation"
"null","Boutique Fitness Studio","Staffing","validation"
"null","Personal Training Studio","Staffing","mvp"
"null","Women Only Gym","Staffing","validation"
"null","Boxing Gym","Staffing","validation"
"null","Crossfit Gym","Staffing","validation"
"null","Luxury Fitness Club","Staffing","planned"
"null","Online Coaching","Staffing","mvp"
"null","Personal Trainer Business","Staffing","mvp"
"null","Transformation Program","Staffing","mvp"
"null","Athlete Training Company","Staffing","validation"
"null","Supplement Brand","Staffing","mvp"
"null","Fitness Apparel","Staffing","mvp"
"null","Workout Equipment Brand","Staffing","validation"
"null","Recovery Products","Staffing","mvp"
"null","Fitness App","Staffing","mvp"
"null","Ai Personal Trainer","Staffing","planned"
"null","Gym Management Software","Staffing","planned"
"null","Wearable Analytics Platform","Staffing","planned"
"null","Yoga Studio","Staffing","validation"
"null","Pilates Studio","Staffing","validation"
"null","Dance Studio","Staffing","validation"
"null","Martial Arts Dojo","Staffing","validation"
"null","Sports Performance Center","Staffing","planned"
"null","Corporate Wellness Program","Staffing","mvp"
"null","Truck Dispatch Company","Transportation","validation"
"null","Freight Brokerage","Transportation","validation"
"null","Logistics Dispatch Service","Transportation","mvp"
"null","Last Mile Delivery Dispatch","Transportation","mvp"
"null","Medical Courier Dispatch","Transportation","validation"
"null","Amazon","Transportation","planned"
"null","Construction Dispatch","Transportation","validation"
"null","Towing Dispatch","Transportation","mvp"
"null","Hvac Technician Dispatch","Transportation","mvp"
"null","Field Service Dispatch","Transportation","mvp"
"null","Dispatch Software","Transportation","planned"
"null","Fleet Tracking Platform","Transportation","planned"
"null","Logistics Automation System","Transportation","planned"
"null","Ai Route Optimization","Transportation","planned"
"null","Driver Management Platform","Transportation","planned"
"null","Trucking Company","Transportation","validation"
"null","Courier Service","Transportation","mvp"
"null","Local Delivery Company","Transportation","mvp"
"null","Moving Company","Transportation","validation"
"null","Freight Company","Transportation","validation"
"null","Warehouse Company","Transportation","planned"
"null","Fulfillment Center","Transportation","mvp"
"null","Storage Business","Transportation","validation"
"null","Distribution Company","Transportation","validation"
"null","Logistics Marketplace","Transportation","planned"
"null","Shipping Platform","Transportation","planned"
"null","Fleet Management Saas","Transportation","planned"
"null","Freight Ai Optimization","Transportation","planned"
"null","Supply Chain Analytics","Transportation","planned"
"null","Cold Chain Logistics","Transportation","validation"
"null","Business Consulting","Operations","mvp"
"null","Legal Services","Operations","validation"
"null","Accounting Services","Operations","mvp"
"null","Hr Consulting","Operations","validation"
"null","Marketing Agency","Operations","mvp"
"null","Web Design Agency","Operations","mvp"
"null","It Support Services","Operations","mvp"
"null","Virtual Assistant Service","Operations","mvp"
"null","Bookkeeping Service","Operations","mvp"
"null","Tax Preparation Service","Operations","mvp"
"null","Real Estate Agency","Operations","validation"
"null","Insurance Agency","Operations","validation"
"null","Financial Planning","Operations","mvp"
"null","Event Planning","Operations","validation"
"null","Interior Design","Operations","validation"
"null","Photography Service","Operations","mvp"
"null","Videography Service","Operations","mvp"
"null","Translation Services","Operations","validation"
"null","Copywriting Service","Operations","mvp"
"null","Social Media Management","Operations","mvp"
"null","Seo Agency","Operations","mvp"
"null","Ppc Management","Operations","mvp"
"null","Pr Agency","Operations","validation"
"null","Recruiting Agency","Operations","validation"
"null","Business Brokerage","Operations","planned"
"null","Youtube Channel Network","Media","mvp"
"null","Podcast Network","Media","mvp"
"null","Blog Network","Media","mvp"
"null","Influencer Agency","Media","validation"
"null","Content Creation Studio","Media","mvp"
"null","Video Production Company","Media","validation"
"null","Animation Studio","Media","planned"
"null","Music Production","Media","validation"
"null","Stock Photography","Media","mvp"
"null","Stock Video","Media","mvp"
"null","Online Magazine","Media","mvp"
"null","News Website","Media","validation"
"null","Streaming Platform","Media","planned"
"null","Gaming Channel","Media","mvp"
