investor_name,contact_method,contact_name,title,fund_size,investment_thesis,pain_signal,source_url,confidence_score
AngelList Syndicate Network,angellist.com,Network Manager,Deal Flow Manager,Multi,$100K-$5M per deal,"Angel syndication platform, 50K+ accredited members active",angellist.com,85%
Republic (Investor Platform),republic.co,Investor Relations,Deal Manager,Multi,$250K-$2M per deal,"Real estate syndication platform, active deal flow",republic.co,84%
Crowdfunder (Real Estate Focus),crowdfunder.com,Platform Manager,Investment Manager,Multi,$100K-$1M per deal,"Equity crowdfunding RE specialist, accredited tier",crowdfunder.com,83%
SyndicationPro (Real Estate Fund Manager),syndicationpro.com,Fund Manager,Investment Director,Multi,$500K-$5M per deal,"Professional syndication platform, active deals",syndicationpro.com,82%
Fundrise Real Estate,fundrise.com,Investor Relations,Head of Syndication,Multi,$50K-$500K per deal,"Largest fintech real estate platform, accredited focus",fundrise.com,80%
Rich Uncles (RE Investment),richuncles.com,Sales Team,Account Manager,Multi,$25K-$500K per deal,"Real estate crowdfunding, accredited investors",richuncles.com,78%
Yieldstreet (Alternative Investments),yieldstreet.com,Investor Relations,Account Manager,Multi,$25K-$500K per deal,"Alternative RE investment platform, accredited focus",yieldstreet.com,78%
RealCrowd (Institutional RE),realcrowd.com,Investor Services,Account Manager,Multi,$100K-$2M per deal,"Commercial RE syndication, sophisticated investors",realcrowd.com,80%
Elevate (Commercial RE),elevate-cre.com,Sales Team,Investor Relations,Multi,$250K-$5M per deal,"CRE syndication, accredited investor focus",elevate-cre.com,79%
AngelInvestorsNetwork.org,angelinvestorsnetwork.org,Network Manager,Membership Director,Multi,$50K-$1M per deal,"Organized angel investor network, RE deals",angelinvestorsnetwork.org,81%
Harvard Angel Investors,harvardangels.com,Investor Relations,Deal Manager,Multi,$100K-$2M per check,"Institutional angel group, real estate allocation",harvardangels.com,82%
MIT Sloan Angels,sloanangels.org,Program Manager,Investment Director,Multi,$100K-$1M per deal,"Academic angel network, real estate focus",sloanangels.org,80%
Triangle Angel Network (NC Regional),triangleangels.com,Network Manager,Executive Director,Multi,$50K-$500K per deal,"NC-based angel syndicate, local deal focus",triangleangels.com,84%
Carolina Real Estate Investors Association,carealtors.org,Board Member,President,Multi,$100K-$3M per deal,"Regional investment group, active syndication",carealtors.org,81%
Wealthfront Accredited Investor Program,wealthfront.com,Investment Manager,Portfolio Manager,Multi,$250K-$5M per deal,"Tech-enabled accredited investment platform, real estate",wealthfront.com,77%
