repo_name,tier,primary_capability,secondary_capabilities,deploy_sequence,access_level,deploy_owner,status,dependencies,readme_completeness,notes
civilization-os,0,knowledge-graph,api|authentication|database|monitoring,1,internal,hrms-operations-ai-001,active,"none",Complete,"Foundation: unified OS architecture, Obsidian integration, knowledge graph backbone"
iza-os-rag-system,0,api,authentication|database|knowledge-graph,2,internal,hrms-operations-ai-001,active,"civilization-os",Complete,"Foundation: RAG indexing, semantic search, MCP server integration"
the-office,1,dashboard|workspace,authentication|api|monitoring,3,internal,hrms-founder-001,active,"civilization-os,iza-os-rag-system",Complete,"Core: unified workspace, team coordination dashboard"
venture-hub,1,dashboard|api,authentication|database|monitoring,4,internal,hrms-operations-ai-001,to_deploy,"civilization-os,iza-os-rag-system,the-office",Complete,"Core: venture management, real-time sync, ClickUp bridge"
venture-factory-core,1,api,authentication|database|security,5,internal,hrms-founder-001,to_deploy,"civilization-os,iza-os-rag-system",Complete,"Core: venture provisioning, agent deployment, RACI enforcement"
con-001-ace-construction,2,construction,api|payment|database,6,public,hrms-sales-ai-001,active,"venture-hub,venture-factory-core",Partial,"Venture: HVAC services, Stripe integration, customer portal"
con-012-hvac-services,2,construction|payment,api|database,7,public,hrms-sales-ai-001,active,"venture-hub,venture-factory-core",Partial,"Venture: HVAC dispatch, payment processing"
lt-009-hvac-technician-dispatch,2,api|dashboard,construction|database|payment,8,internal,hrms-product-ai-001,active,"venture-hub,venture-factory-core",Partial,"Venture: technician scheduling, route optimization"
pitch-kit,3,pitch|portfolio,api|database,9,public,hrms-sales-ai-001,active,"venture-hub",Complete,"Template: pitch deck generator, investor outreach"
ai-venture-studio-template,3,portfolio|pitch,api|database|authentication,10,public,hrms-founder-001,to_deploy,"venture-hub,venture-factory-core",Complete,"Template: venture onboarding, documentation scaffold"
business-template-marketplace,3,marketplace|portfolio,api|database|payment,11,public,hrms-sales-ai-001,to_deploy,"venture-hub,pitch-kit",Partial,"Marketplace: template search, licensing, revenue split"
autonomous-venture-studio,1,api|simulation,database|monitoring,12,internal,hrms-product-ai-001,to_deploy,"civilization-os,venture-factory-core",Partial,"Core: venture simulation, autonomous agent testing"
