venture_id,venture_name,sector,stage,status,has_uuid,uuid
FIN-001-GenixBank-Lite,Genixbank Lite,fintech,planned,planned,yes,3b1b67db-86a0-43f5-ab28-c3c8f2e30747
FIN-002-Credit-Repair-Automation,Credit Repair Automation,fintech,planned,planned,yes,963b382c-a761-465c-b417-02501d107650
FIN-003-AI-Boss-Hub-Lite,Ai Boss Hub Lite,fintech,planned,planned,yes,bdf2e0fb-7dde-478e-a48e-d363192d733c
FIN-004-GenixBanks-AI-Treasurer,Genixbanks Ai Treasurer,fintech,planned,planned,yes,358c0fb7-60f0-49f0-af22-165ab5d8088a
FIN-005-U-Haul-Rental-Affiliate,U Haul Rental Affiliate,fintech,planned,planned,yes,31814643-600d-495d-8d8e-200317f998bf
FIN-006-Tax-Prep-Filing-Services,Tax Prep Filing Services,fintech,planned,planned,yes,15572af9-e058-492c-b9e9-0938b4d07fb7
FIN-007-Business-Credit-Building,Business Credit Building,fintech,planned,planned,yes,146ed62c-d9e8-4285-b2c8-8b852dbfa76b
FIN-008-Business-Formation-Services,Business Formation Services,fintech,planned,planned,yes,e8306358-7f14-4b3a-85e2-38c42a2025c5
FIN-009-Crypto-Tax-Optimizer,Crypto Tax Optimizer,fintech,planned,planned,yes,762cb3e5-3aad-4234-9035-0792b876af01
FIN-010-AI-Powered-Garbage-Collection,Ai Powered Garbage Collection,fintech,planned,planned,yes,48078344-8da1-4ee7-8dba-049b8b3e0ec6
FIN-011-Automated-Bookkeeping,Automated Bookkeeping,fintech,planned,planned,yes,6a871b02-00ea-42b9-b16d-c14212aa34a3
FIN-012-Invoice-Factoring-AI,Invoice Factoring Ai,fintech,planned,planned,yes,dccea2da-3d6e-4869-8e37-65d90a529fa4
FIN-013-Charity-Donation-AI,Charity Donation Ai,fintech,planned,planned,yes,f9de7000-12db-42f4-bf35-6dda7e18e11d
FIN-014-Expense-Tracker-AI,Expense Tracker Ai,fintech,planned,planned,yes,2d717fcc-a5b1-40db-90c5-0c0c86f2be1e
FIN-015-Financial-Wellness-Coach,Financial Wellness Coach,fintech,planned,planned,yes,3d54893a-074f-4fbe-834c-e5290d6a81dd
FIN-016-Trade-Finance-AI,Trade Finance Ai,fintech,planned,planned,yes,01f74934-8d29-4292-86d9-4a5c6af217ed
FIN-017-Remittance-AI,Remittance Ai,fintech,planned,planned,yes,60598b62-cd1d-4be5-8021-3cb3bf7ff370
FIN-018-Wealth-Transfer-AI,Wealth Transfer Ai,fintech,planned,planned,yes,6ecd4ac6-2f01-42c2-8719-7ed67242746e
FIN-019-Payment-Gateway-AI,Payment Gateway Ai,fintech,planned,planned,yes,2b8ec933-7b91-4aa0-b80a-788d979179e1
FIN-020-Debt-Consolidation-AI,Debt Consolidation Ai,fintech,planned,planned,yes,62adf78e-c391-4e8d-a0c5-c45f73b4fa06
FIN-021-Tax-Deduction-Finder,Tax Deduction Finder,fintech,planned,planned,yes,987c8140-a75c-4ba6-a401-fe9f9835b963
FIN-022-Budget-Forecasting-AI,Budget Forecasting Ai,fintech,planned,planned,yes,55c975e3-18d8-4af6-be4c-dc5be06d881d
FIN-023-Investment-Portfolio-AI,Investment Portfolio Ai,fintech,planned,planned,yes,30a407a5-4af5-42e5-8400-e5df314732e2
FIN-024-Crowdfunding-AI,Crowdfunding Ai,fintech,planned,planned,yes,bb1e8456-d7f0-44fa-a8c3-7fc7cf06363a
FIN-025-Escrow-Automation,Escrow Automation,fintech,planned,planned,yes,2c7f67bd-5ef9-43dc-9415-a20b5785d344
FIN-026-Financial-Compliance-Scanner,Financial Compliance Scanner,fintech,planned,planned,no,
FIN-027-Patent-Writer-AI,Patent Writer Ai,fintech,planned,planned,no,
FIN-028-Legal-Analyzer-AI,Legal Analyzer Ai,fintech,planned,planned,no,
FIN-029-Compliance-Wallet-SaaS,Compliance Wallet Saas,fintech,planned,planned,no,
FIN-030-Local-SEO-Ranker-AI,Local Seo Ranker Ai,fintech,planned,planned,no,
FIN-031-Investor-Dashboard-Builder,Investor Dashboard Builder,fintech,planned,planned,no,
FIN-032-Legal-Toolkit-AI,Legal Toolkit Ai,fintech,planned,planned,no,
FIN-033-AI-Tax-Preparation-Service,Ai Tax Preparation Service,fintech,planned,planned,no,
FIN-034-Payroll-Automation,Payroll Automation,fintech,planned,planned,no,
FIN-035-Insurance-Underwriting-AI,Insurance Underwriting Ai,fintech,planned,planned,no,
FIN-036-Arbitrage-Nexus-Platform,Arbitrage Nexus Platform,fintech,growth,active,no,
BW-001-Lash-Extension-Studio,Lash Extension Studio,beauty,validation,validation,no,
BW-002-Mobile-Lash-Service,Mobile Lash Service,beauty,mvp,development,no,
BW-003-Luxury-Lash-Bar,Luxury Lash Bar,beauty,validation,validation,no,
BW-004-Lash-Training-Academy,Lash Training Academy,beauty,validation,validation,no,
BW-005-Lash-Supply-Company,Lash Supply Company,beauty,mvp,development,no,
