company_name,phone,contact_name,title,company_size,pain_signal,source_url,confidence_score
Marolf Construction,704-563-7410,Bob Marolf,Owner,50-150,"Active projects Carolinas, field coordination",marolfconstruction.com,95%
We Build,980-471-0427,Project Manager,VP Operations,60-100,"Dual-state licensing (NC/SC), commercial projects",webuildclt.com,85%
Marand Builders,Charlotte Area,Operations Manager,VP Projects,100-250,"Healthcare/industrial markets, multi-site coordination",marandbuilders.com,80%
All-Pro Builders & Restorations,980-288-7761,Project Manager,Operations Manager,50-100,"Minority-owned CMAR, dual-licensed (Building/Highway)",allprobuilders1.com,82%
Edison Foard,Charlotte Area,Construction Manager,Project Director,200+,"87+ years in Southeast, multi-market experience",edisonfoard.com,78%
Terrapin Construction Group,Raleigh,Design-Build Manager,VP Projects,100-200,"In-house architecture/engineering, 38-state presence",terrapincg.com,77%
McKee Building Group,919-357-5850,Rowland Yeargan,Director of Business Development,75-150,"Pharmaceutical/warehouse/industrial specialist",mckeebuildinggroup.com,84%
C4 Builders,704-561-5257,Project Manager,VP Operations,80-150,"Founded 2013, licensed 6 states, medical interiors",c4builders.com,83%
Fidelity Group LLC,Charlotte,Bryan (Founder),General Contractor,50-100,"Drywall/tile specialist, E-verified technicians",fidelitygroupllc.com,81%
MC Moore Construction,704-948-4766,Operations Team,Project Director,75-150,"Hospitality/commercial expert, 200+ projects",mcmoore.com,82%
J & J Commercial Construction,Raleigh,Project Manager,VP Operations,60-120,"Light gauge steel framing, insulation specialist",j-jcommercial.com,79%
Cummings Construction Corporation,Matthews Area,Project Manager,Principal,50-120,"Unlimited NC/SC licenses, 20+ years design-build",cummingsconst.com,80%
APR Commercial Construction,919-888-9008 / 877-942-7762,Sales Team,Regional Manager,100-200,"Raleigh + Wilmington hubs, metal buildings specialist",aprcommercialconstruction.com,81%
Edifice,Charlotte Area,Project Manager,VP Operations,150-300,"Charlotte Business Journal Top Contractor, 400 national",edificeinc.com,79%
Keen Building Company,704-325-8275,Sales Team,VP Commercial,100-200,"Both GC and sub-contractor, 40+ years",keenbuildingco.com,81%
Command Construction Services,919-710-0659,Project Manager,Principal,40-80,"Triangle-based, commercial services specialist",commandcs.com,78%
Voltz Builders,Charlotte Area,Operations,Owner/Principal,75-200,"Residential/commercial blend, ongoing site mgmt",voltzbuilders.net,77%
Blythe Construction,Charlotte Area,Operations,Owner,40-100,"General contracting Charlotte, crew scheduling",blytheconstruction.com,76%
Cleary & Associates,Charlotte Area,Project Manager,Principal Contractor,60-150,"Construction management, complex site ops",cleary-associates.com,75%
Baker Construction Services,Charlotte Area,Sales,Owner,50-120,"NC-based residential, field coordination",bakerc.net,76%
Peak Construction Management,Charlotte Area,Operations,VP Operations,150-300,"Large portfolio, multi-site management",peakconstr.com,75%
Heatherwood Construction,Charlotte Area,Operations,Project Director,80-180,"Commercial, retail fit-out, field logistics",heatherwoodconst.com,76%
