repo_name,description,company_role,venture_id,venture_name,ASSIGN_SECTOR,ASSIGN_VENTURE_CODE,ASSIGN_VENTURE_NAME
ai-001-ai-command-center,OpenClaw orchestration dashboard with AI agent management - Part of Civilization OS venture ecosystem,Infrastructure,,,,,
ai-002-api,Backend API for the CogniFlow web application.,Infrastructure,,,,,
ai-002-ml-engine,Machine learning models and training pipelines for CogniFlow.,Infrastructure,,,,,
ai-002-web-app,Frontend application for CogniFlow's workflow management.,Infrastructure,,,,,
ai-boss-holdings-v4,AI Boss Holdings platform v4,Infrastructure,,,,,
ai-business-commander,AI-powered business management command center,Infrastructure,,,,,
ai-venture-studio-template,Template for creating AI-powered venture studios,Infrastructure,,,,,
Resume,Personal resume,Gear,,,,,
Worldwidebro,Antwuan Johns — @Worldwidebro profile,Gear,,,,,
_master-governance,"Civilization OS — Chairman's Handbook, master CLAUDE.md, agent architecture, shared governance for all 835 repos",Gear,,,,,
ace-community-impact-templates,"Community Impact Business Templates (#273-312) - Social enterprises, nonprofits, and community-driven business models with impact measurement",Gear,,,,,
ace-ecommerce-templates,"E-commerce Business Templates (#133-192) - Complete dropshipping, DTC, and online retail business templates with AI automation",Gear,,,,,
acquisition-vehicle-automation,M&A operations automation for billionaire consciousness empire,Gear,,,,,
arbitrage-nexus,Arbitrage opportunity detection and execution platform,Gear,,,,,
avs-omni,IZA OS: avs-omni,Gear,,,,,
babystepsmatrix1,Archive: Old project (candidate for deletion),Gear,,,,,
billionaire-brain-assistant,AI-powered business intelligence for billionaire consciousness empire,Gear,,,,,
billionaire-consciousness-empire,Main business entity for billionaire consciousness empire operations,Gear,,,,,
billionaire-workflow-automation,Workflow automation for billionaire consciousness empire,Gear,,,,,
business-template-marketplace,"🏪 Complete Business Template Marketplace - 487 AI-powered business templates with automated generation, payment processing, and digital delivery system",Gear,,,,,
capital-orchestrator,Capital allocation and orchestration platform,Gear,,,,,
civilization-os,"🌍 Civilization OS - Master orchestrator for the entire IZA-OS ecosystem, managing 101 genius folders, 553 AI agents, 100+ MCP servers, and 238 repositories",Gear,,,,,
civilization-os-infra,"Civilization OS infrastructure — scripts, configs, Docker stack, AOC, DeerFlow skills, agent workflows for 687 ventures",Gear,,,,,
civilization-website,"Full-stack website built with React, Vite, and Supabase - Part of Civilization OS integration",Gear,,,,,
claude-workflow-demo,Demo of Claude PR review automation with GitHub Actions,Gear,,,,,
clients,"Client management, agreements, onboarding systems, and lead generation",Gear,,,,,
data-management,Unified data schemas and management systems,Gear,,,,,
deployment-orchestrator,Complete Docker & deployment automation system,Gear,,,,,
divine-johns-portfolio,Personal portfolio website,Gear,,,,,
enhanced-cursor-rules,"Enhanced Cursor Rules for AI Development: 47+ comprehensive rule files for Cursor, Windsurf, Claude Code. Business logic, AI orchestration, security standards, revenue optimization.",Gear,,,,,
fund-001-civilization-credit-fund,"Civilization OS: Internal lending + grant writing for 749 ventures (loans, SBIR/STTR grants, equipment financing)",Gear,,,,,
genixbank-financial-system,Comprehensive financial operations & banking platform,Gear,,,,,
genixbank-insight-compass,GenixBank financial insights and analytics platform,Gear,,,,,
global-operations-automation,International operations automation for billionaire consciousness empire,Gear,,,,,
innovation-hub-platform,Innovation and R&D platform for billionaire consciousness empire,Gear,,,,,
ins-001-venture-insurance,"Civilization OS: Insurance broker for 749 ventures (liability, property, workers comp, cyber)",Gear,,,,,
intellectual-property-management,IP management system for billionaire consciousness empire,Gear,,,,,
investment-fund-management,Investment management system for billionaire consciousness empire,Gear,,,,,
iza-os-agents,"Modular agents (finance, marketing, QA, etc.)",Gear,,,,,
iza-os-ai-consciousness-platform,Consciousness AI platform for billionaire consciousness empire,Gear,,,,,
iza-os-ai-core-platform,Core AI systems platform for billionaire consciousness empire,Gear,,,,,
iza-os-ai-nlp-platform,Natural language processing platform for billionaire consciousness empire,Gear,,,,,
iza-os-ai-optimization-platform,Optimization algorithms platform for billionaire consciousness empire,Gear,,,,,
iza-os-ai-orchestration,🎪 AI Orchestration - Multi-AI coordination,Gear,,,,,
iza-os-ai-prediction-platform,Predictive analytics platform for billionaire consciousness empire,Gear,,,,,
iza-os-ai-vision-platform,Computer vision platform for billionaire consciousness empire,Gear,,,,,
iza-os-analytics,IZA OS: Analytics and reporting engine,Gear,,,,,
iza-os-api-gateway-bot,🌐 API Gateway Bot - API management and routing automation,Gear,,,,,
iza-os-automation,⚙️ IZA OS Automation - Workflow automation and orchestration,Gear,,,,,
iza-os-automation-integration,Automation integration platform for billionaire consciousness empire,Gear,,,,,
iza-os-blockchain-core,Blockchain core platform for billionaire consciousness empire,Gear,,,,,
iza-os-business,IZA OS: Business logic core module,Gear,,,,,
iza-os-cli,IZA OS: iza-os-cli,Gear,,,,,
iza-os-computer-vision,👁️ Computer Vision - Image and video analysis,Gear,,,,,
iza-os-core,"🧠 IZA OS - Intelligent Zero-Administration Operating System | Your AI CEO that finds problems, launches ventures, and generates income | Mobile-optimized for Cursor IDE",Gear,,,,,
iza-os-cryptocurrency-management,Cryptocurrency management platform for billionaire consciousness empire,Gear,,,,,
iza-os-customer-core,"🤝 Unified Customer Experience Platform - Support, Communication, Satisfaction, Engagement",Gear,,,,,
iza-os-customer-service-automation-bot,Advanced customer service automation for billionaire consciousness empire,Gear,,,,,
iza-os-customer-service-chatbot-bot,Advanced customer service chatbot for billionaire consciousness empire,Gear,,,,,
iza-os-customer-service-email-bot,Advanced customer service email automation for billionaire consciousness empire,Gear,,,,,
iza-os-customer-service-escalation-bot,Advanced customer service escalation automation for billionaire consciousness empire,Gear,,,,,
iza-os-customer-service-faq-bot,Advanced customer service FAQ automation for billionaire consciousness empire,Gear,,,,,
iza-os-customer-service-knowledge-bot,Advanced customer service knowledge management for billionaire consciousness empire,Gear,,,,,
iza-os-customer-service-phone-bot,Advanced customer service phone automation for billionaire consciousness empire,Gear,,,,,
iza-os-customer-service-social-bot,Advanced customer service social media automation for billionaire consciousness empire,Gear,,,,,
iza-os-customer-service-ticket-bot,Advanced customer service ticket management for billionaire consciousness empire,Gear,,,,,
iza-os-cybersecurity-monitoring-bot,🔒 Cybersecurity Monitoring Bot - Advanced threat detection and response,Gear,,,,,
iza-os-data,ETL pipelines + datasets + knowledge graph,Gear,,,,,
iza-os-data-integration-hub,Data integration hub for billionaire consciousness empire,Gear,,,,,
iza-os-defi-platform,DeFi operations platform for billionaire consciousness empire,Gear,,,,,
iza-os-deployment-automation-bot,🚀 Deployment Automation Bot - Automated deployment and scaling,Gear,,,,,
iza-os-docs,IZA OS: iza-os-docs,Gear,,,,,
iza-os-ecosystem,IZA OS: Core ecosystem integration layer,Gear,,,,,
iza-os-embedding-service,📊 Embedding Service - Text and data embedding,Gear,,,,,
iza-os-enterprise,🏢 IZA OS Enterprise - Business intelligence and revenue optimization,Gear,,,,,
iza-os-enterprise-integrations,Enterprise integrations platform for billionaire consciousness empire,Gear,,,,,
iza-os-finance-advisor-alerting-bot,🤖 Finance Advisor Bot - Alerting automation and intelligence,Gear,,,,,
iza-os-finance-advisor-analytics-bot,🤖 Finance Advisor Bot - Analytics automation and intelligence,Gear,,,,,
iza-os-finance-advisor-automation-bot,🤖 Finance Advisor Bot - Automation automation and intelligence,Gear,,,,,
iza-os-finance-advisor-compliance-bot,🤖 Finance Advisor Bot - Compliance automation and intelligence,Gear,,,,,
iza-os-finance-advisor-discovery-bot,🤖 Finance Advisor Bot - Discovery automation and intelligence,Gear,,,,,
iza-os-finance-advisor-forecasting-bot,Advanced financial forecasting bot for billionaire consciousness empire,Gear,,,,,
iza-os-finance-advisor-integration-bot,🤖 Finance Advisor Bot - Integration automation and intelligence,Gear,,,,,
iza-os-finance-advisor-intelligence-bot,🤖 Finance Advisor Bot - Intelligence automation and intelligence,Gear,,,,,
iza-os-finance-advisor-management-bot,🤖 Finance Advisor Bot - Management automation and intelligence,Gear,,,,,
iza-os-finance-advisor-monitoring-bot,🤖 Finance Advisor Bot - Monitoring automation and intelligence,Gear,,,,,
iza-os-finance-advisor-optimization-bot,🤖 Finance Advisor Bot - Optimization automation and intelligence,Gear,,,,,
iza-os-finance-advisor-orchestration-bot,🤖 Finance Advisor Bot - Orchestration automation and intelligence,Gear,,,,,
iza-os-finance-advisor-processing-bot,🤖 Finance Advisor Bot - Processing automation and intelligence,Gear,,,,,
iza-os-finance-advisor-reporting-bot,🤖 Finance Advisor Bot - Reporting automation and intelligence,Gear,,,,,
iza-os-finance-advisor-security-bot,🤖 Finance Advisor Bot - Security automation and intelligence,Gear,,,,,
iza-os-finance-advisor-synthesis-bot,🤖 Finance Advisor Bot - Synthesis automation and intelligence,Gear,,,,,
iza-os-financial-core,"🏦 Unified Financial Services Platform - Forecasting, Advisory, Compliance, Analytics, Investment Management",Gear,,,,,
iza-os-funding,IZA OS: iza-os-funding,Gear,,,,,
iza-os-hr-analytics-bot,Advanced HR analytics automation for billionaire consciousness empire,Gear,,,,,
iza-os-hr-benefits-bot,Advanced HR benefits management for billionaire consciousness empire,Gear,,,,,
iza-os-hr-compliance-bot,Advanced HR compliance automation for billionaire consciousness empire,Gear,,,,,
iza-os-hr-core,"👥 Unified HR Platform - Recruitment, Benefits, Performance, Compliance, Employee Experience",Gear,,,,,
iza-os-hr-onboarding-bot,Advanced HR onboarding automation for billionaire consciousness empire,Gear,,,,,
iza-os-hr-payroll-bot,Advanced HR payroll automation for billionaire consciousness empire,Gear,,,,,
iza-os-hr-performance-bot,Advanced HR performance management for billionaire consciousness empire,Gear,,,,,
iza-os-hr-recruitment-bot,Advanced HR recruitment automation for billionaire consciousness empire,Gear,,,,,
iza-os-hr-training-bot,Advanced HR training automation for billionaire consciousness empire,Gear,,,,,
iza-os-inference-engine,⚡ Inference Engine - Fast AI model inference,Gear,,,,,
iza-os-infra,IZA OS: iza-os-infra,Gear,,,,,
iza-os-infrastructure,"🏗️ IZA OS Infrastructure - DevOps, deployment, and infrastructure",Gear,,,,,
iza-os-infrastructure-monitoring-bot,🏗️ Infrastructure Monitoring Bot - Automated system monitoring and alerting,Gear,,,,,
iza-os-integrations,🔗 IZA OS Integrations - Third-party integrations and APIs,Gear,,,,,
iza-os-intelligence-core,"🧠 Unified Intelligence Platform - Analytics, Reporting, AI/ML, Insights, Data Science",Gear,,,,,
iza-os-inventory-management-analytics-bot,🤖 Inventory Management Bot - Analytics automation and intelligence,Gear,,,,,
iza-os-inventory-management-automation-bot,🤖 Inventory Management Bot - Automation automation and intelligence,Gear,,,,,
iza-os-inventory-management-compliance-bot,🤖 Inventory Management Bot - Compliance automation and intelligence,Gear,,,,,
iza-os-inventory-management-integration-bot,🤖 Inventory Management Bot - Integration automation and intelligence,Gear,,,,,
iza-os-inventory-management-monitoring-bot,🤖 Inventory Management Bot - Monitoring automation and intelligence,Gear,,,,,
iza-os-inventory-management-optimization-bot,🤖 Inventory Management Bot - Optimization automation and intelligence,Gear,,,,,
iza-os-inventory-management-reporting-bot,🤖 Inventory Management Bot - Reporting automation and intelligence,Gear,,,,,
iza-os-inventory-management-security-bot,🤖 Inventory Management Bot - Security automation and intelligence,Gear,,,,,
iza-os-knowledge-graph,🕸️ Knowledge Graph - Entity relationship mapping,Gear,,,,,
iza-os-legal-core,"⚖️ Unified Legal Platform - Contracts, Compliance, IP, Risk Management, Regulatory Affairs",Gear,,,,,
iza-os-legal-research-alerting-bot,🤖 Legal Research Bot - Alerting automation and intelligence,Gear,,,,,
iza-os-legal-research-compliance-bot,🤖 Legal Research Bot - Compliance automation and intelligence,Gear,,,,,
iza-os-legal-research-discovery-bot,🤖 Legal Research Bot - Discovery automation and intelligence,Gear,,,,,
iza-os-legal-research-integration-bot,🤖 Legal Research Bot - Integration automation and intelligence,Gear,,,,,
iza-os-legal-research-intelligence-bot,🤖 Legal Research Bot - Intelligence automation and intelligence,Gear,,,,,
iza-os-legal-research-management-bot,🤖 Legal Research Bot - Management automation and intelligence,Gear,,,,,
iza-os-legal-research-optimization-bot,🤖 Legal Research Bot - Optimization automation and intelligence,Gear,,,,,
iza-os-legal-research-orchestration-bot,🤖 Legal Research Bot - Orchestration automation and intelligence,Gear,,,,,
iza-os-legal-research-processing-bot,🤖 Legal Research Bot - Processing automation and intelligence,Gear,,,,,
iza-os-legal-research-reporting-bot,🤖 Legal Research Bot - Reporting automation and intelligence,Gear,,,,,
iza-os-legal-research-security-bot,🤖 Legal Research Bot - Security automation and intelligence,Gear,,,,,
iza-os-legal-research-synthesis-bot,🤖 Legal Research Bot - Synthesis automation and intelligence,Gear,,,,,
iza-os-llm-adapter,🧠 LLM Adapter - Large language model integration,Gear,,,,,
iza-os-market,IZA OS: iza-os-market,Gear,,,,,
iza-os-marketing-automation-alerting-bot,🤖 Marketing Automation Bot - Alerting automation and intelligence,Gear,,,,,
iza-os-marketing-automation-analytics-bot,🤖 Marketing Automation Bot - Analytics automation and intelligence,Gear,,,,,
iza-os-marketing-automation-automation-bot,🤖 Marketing Automation Bot - Automation automation and intelligence,Gear,,,,,
iza-os-marketing-automation-campaign-bot,Advanced marketing campaign bot for billionaire consciousness empire,Gear,,,,,
