repo_name,repo_slug,is_private,category,admin_owner,write_access,read_access,ventures_served
ace-community-impact-templates,,yes,aligned-venture,COO,COO,sector-team,
ace-ecommerce-templates,,yes,aligned-venture,COO,COO,sector-team,
acquisition-vehicle-automation,,yes,aligned-venture,COO,COO,sector-team,
ai-001-ai-command-center,,yes,aligned-venture,COO,COO,sector-team,
ai-002-api,,yes,aligned-venture,COO,COO,sector-team,
billionaire-brain-assistant,,yes,aligned-venture,COO,COO,sector-team,
billionaire-consciousness-empire,,yes,aligned-venture,COO,COO,sector-team,
business-template-marketplace,,yes,aligned-venture,COO,COO,sector-team,
bw-001-contracts,,yes,aligned-venture,COO,COO,sector-team,
bw-001-lash-extension-studio,,yes,aligned-venture,COO,COO,sector-team,
bw-001-up-next,,yes,aligned-venture,COO,COO,sector-team,
bw-001-up-next-business,,yes,aligned-venture,COO,COO,sector-team,
bw-001-up-next-code,,yes,aligned-venture,COO,COO,sector-team,
bw-001-up-next-web,,yes,aligned-venture,COO,COO,sector-team,
bw-002-mobile-lash-service,,yes,aligned-venture,COO,COO,sector-team,
bw-003-luxury-lash-bar,,yes,aligned-venture,COO,COO,sector-team,
bw-004-lash-training-academy,,yes,aligned-venture,COO,COO,sector-team,
bw-005-lash-supply-company,,yes,aligned-venture,COO,COO,sector-team,
bw-006-lash-glue-brand,,yes,aligned-venture,COO,COO,sector-team,
bw-007-lash-kits---tools,,yes,aligned-venture,COO,COO,sector-team,
bw-008-private-label-lashes,,yes,aligned-venture,COO,COO,sector-team,
bw-009-franchise-lash-salons,,yes,aligned-venture,COO,COO,sector-team,
bw-010-online-lash-education,,yes,aligned-venture,COO,COO,sector-team,
bw-011-nail-salon,,yes,aligned-venture,COO,COO,sector-team,
bw-012-mobile-nail-tech,,yes,aligned-venture,COO,COO,sector-team,
bw-013-luxury-nail-spa,,yes,aligned-venture,COO,COO,sector-team,
bw-014-press-on-nail-brand,,yes,aligned-venture,COO,COO,sector-team,
bw-015-nail-art-studio,,yes,aligned-venture,COO,COO,sector-team,
bw-016-nail-polish-brand,,yes,aligned-venture,COO,COO,sector-team,
bw-017-nail-care-products,,yes,aligned-venture,COO,COO,sector-team,
bw-018-nail-booking-marketplace,,yes,aligned-venture,COO,COO,sector-team,
bw-019-salon-management-software,,yes,aligned-venture,COO,COO,sector-team,
bw-020-ai-nail-design-generator,,yes,aligned-venture,COO,COO,sector-team,
bw-021-hair-salon,,yes,aligned-venture,COO,COO,sector-team,
bw-022-barbershop,,yes,aligned-venture,COO,COO,sector-team,
bw-023-mobile-hairstyling,,yes,aligned-venture,COO,COO,sector-team,
bw-024-hair-braiding-studio,,yes,aligned-venture,COO,COO,sector-team,
bw-025-wig-installation-studio,,yes,aligned-venture,COO,COO,sector-team,
bw-026-hair-extension-salon,,yes,aligned-venture,COO,COO,sector-team,
bw-027-hair-care-line,,yes,aligned-venture,COO,COO,sector-team,
bw-028-wig-brand,,yes,aligned-venture,COO,COO,sector-team,
bw-029-hair-extensions-brand,,yes,aligned-venture,COO,COO,sector-team,
bw-030-scalp-treatment-products,,yes,aligned-venture,COO,COO,sector-team,
bw-031-hair-marketplace,,yes,aligned-venture,COO,COO,sector-team,
