repo_owner_name,repo_name,is_private,description,language,stars,ventures_using,venture_ids,venture_names,status
Worldwidebro/ace-community-impact-templates,ace-community-impact-templates,True,"Community Impact Business Templates (#273-312) - Social enterprises, nonprofits, and community-drive",,0,1,RE-001-PROPERTY-HOLDINGS,Property Holdings,aligned
Worldwidebro/ace-ecommerce-templates,ace-ecommerce-templates,True,"E-commerce Business Templates (#133-192) - Complete dropshipping, DTC, and online retail business te",,0,49,EM-001-Space-Habitat-AI|EM-002-Fusion-Energy-AI|EM-003-Teleportation-Research-AI|EM-004-Climate-Solutions-AI|EM-005-Holographic-Events-AI|EM-006-Neurofeedback-AI|EM-007-Autonomous-Delivery-AI|EM-008-Gene-Editing-AI|EM-009-Space-Tourism-AI|EM-010-Wearables-AI|EM-011-Metaverse-Hub-AI|EM-012-Energy-Grid-AI|EM-013-Brain-Computer-Interface|EM-014-Ocean-Cleanup-AI|EM-015-Crypto-Trading-AI|EM-016-Synthetic-Media-AI|EM-017-Space-Mining-AI|EM-018-VR-Therapy-AI|EM-019-Weather-Prediction-AI|EM-020-Autonomous-Farming-AI|EM-021-Traffic-Optimizer-AI|EM-022-Smart-Grid-AI|EM-023-Disaster-Prediction-AI|EM-024-Nanotech-AI|EM-025-Personalized-Medicine-AI|EM-026-AI-Diagnostic-Lab|EM-027-Sustainable-Cities-AI|EM-028-Renewable-Energy-AI|EM-029-Climate-Modeling-AI|EM-030-Policy-Advisor-AI|EM-031-Governance-Hub-AI|EM-032-Global-Challenges-AI|EM-033-Space-Exploration-AI|EM-034-Education-Equity-AI|EM-035-Health-Equity-AI|EM-036-Economic-Equity-AI|EM-037-Environmental-Justice-AI|EM-038-Human-Rights-AI|EM-039-Peacebuilding-AI|EM-040-Telemedicine-AI|EM-041-AI-Climate-Adaptation|EM-042-Space-Agriculture-AI|EM-043-Quantum-Communication-AI|EM-044-Robotics-Surgery-AI|EM-045-AI-Disaster-Response|EM-046-Smart-City-Governance|EM-047-AI-Environmental-Monitoring|EM-048-Space-Manufacturing-AI|RE-001-PROPERTY-HOLDINGS,Space Habitat Ai|Fusion Energy Ai|Teleportation Research Ai|Climate Solutions Ai|Holographic Events Ai|Neurofeedback Ai|Autonomous Delivery Ai|Gene Editing Ai|Space Tourism Ai|Wearables Ai|Metaverse Hub Ai|Energy Grid Ai|Brain Computer Interface|Ocean Cleanup Ai|Crypto Trading Ai|Synthetic Media Ai|Space Mining Ai|Vr Therapy Ai|Weather Prediction Ai|Autonomous Farming Ai|Traffic Optimizer Ai|Smart Grid Ai|Disaster Prediction Ai|Nanotech Ai|Personalized Medicine Ai|Ai Diagnostic Lab|Sustainable Cities Ai|Renewable Energy Ai|Climate Modeling Ai|Policy Advisor Ai|Governance Hub Ai|Global Challenges Ai|Space Exploration Ai|Education Equity Ai|Health Equity Ai|Economic Equity Ai|Environmental Justice Ai|Human Rights Ai|Peacebuilding Ai|Telemedicine Ai|Ai Climate Adaptation|Space Agriculture Ai|Quantum Communication Ai|Robotics Surgery Ai|Ai Disaster Response|Smart City Governance|Ai Environmental Monitoring|Space Manufacturing Ai|Property Holdings,aligned
Worldwidebro/acquisition-vehicle-automation,acquisition-vehicle-automation,True,M&A operations automation for billionaire consciousness empire,Python,0,68,EM-001-Space-Habitat-AI|EM-002-Fusion-Energy-AI|EM-003-Teleportation-Research-AI|EM-004-Climate-Solutions-AI|EM-005-Holographic-Events-AI|EM-006-Neurofeedback-AI|EM-007-Autonomous-Delivery-AI|EM-008-Gene-Editing-AI|EM-009-Space-Tourism-AI|EM-010-Wearables-AI|EM-011-Metaverse-Hub-AI|EM-012-Energy-Grid-AI|EM-013-Brain-Computer-Interface|EM-014-Ocean-Cleanup-AI|EM-015-Crypto-Trading-AI|EM-016-Synthetic-Media-AI|EM-017-Space-Mining-AI|EM-018-VR-Therapy-AI|EM-019-Weather-Prediction-AI|EM-020-Autonomous-Farming-AI|EM-021-Traffic-Optimizer-AI|EM-022-Smart-Grid-AI|EM-023-Disaster-Prediction-AI|EM-024-Nanotech-AI|EM-025-Personalized-Medicine-AI|EM-026-AI-Diagnostic-Lab|EM-027-Sustainable-Cities-AI|EM-028-Renewable-Energy-AI|EM-029-Climate-Modeling-AI|EM-030-Policy-Advisor-AI|EM-031-Governance-Hub-AI|EM-032-Global-Challenges-AI|EM-033-Space-Exploration-AI|EM-034-Education-Equity-AI|EM-035-Health-Equity-AI|EM-036-Economic-Equity-AI|EM-037-Environmental-Justice-AI|EM-038-Human-Rights-AI|EM-039-Peacebuilding-AI|EM-040-Telemedicine-AI|EM-041-AI-Climate-Adaptation|EM-042-Space-Agriculture-AI|EM-043-Quantum-Communication-AI|EM-044-Robotics-Surgery-AI|EM-045-AI-Disaster-Response|EM-046-Smart-City-Governance|EM-047-AI-Environmental-Monitoring|EM-048-Space-Manufacturing-AI|CON-001-ACE-CONSTRUCTION|CON-002-RESIDENTIAL-CONSTRUCTION|CON-003-COMMERCIAL-CONSTRUCTION|CON-004-INDUSTRIAL-CONSTRUCTION|CON-005-CONSTRUCTION-EQUIPMENT-RENTAL|CON-006-CONSTRUCTION-PROJECT-MANAGEMENT|CON-007-GREEN-BUILDING-SERVICES|CON-008-HOME-RENOVATION-SERVICES|CON-009-ROOFING-COMPANY|CON-011-ELECTRICAL-SERVICES|CON-012-HVAC-SERVICES|CON-013-PAINTING-SERVICES|CON-014-FLOORING-SERVICES|CON-015-LANDSCAPING-SERVICES|CON-016-DEMOLITION-SERVICES|CON-017-CONCRETE-SERVICES|CON-018-CARPENTRY-SERVICES|CON-019-WINDOW-INSTALLATION|CON-020-INSULATION-SERVICES|RE-001-PROPERTY-HOLDINGS,Space Habitat Ai|Fusion Energy Ai|Teleportation Research Ai|Climate Solutions Ai|Holographic Events Ai|Neurofeedback Ai|Autonomous Delivery Ai|Gene Editing Ai|Space Tourism Ai|Wearables Ai|Metaverse Hub Ai|Energy Grid Ai|Brain Computer Interface|Ocean Cleanup Ai|Crypto Trading Ai|Synthetic Media Ai|Space Mining Ai|Vr Therapy Ai|Weather Prediction Ai|Autonomous Farming Ai|Traffic Optimizer Ai|Smart Grid Ai|Disaster Prediction Ai|Nanotech Ai|Personalized Medicine Ai|Ai Diagnostic Lab|Sustainable Cities Ai|Renewable Energy Ai|Climate Modeling Ai|Policy Advisor Ai|Governance Hub Ai|Global Challenges Ai|Space Exploration Ai|Education Equity Ai|Health Equity Ai|Economic Equity Ai|Environmental Justice Ai|Human Rights Ai|Peacebuilding Ai|Telemedicine Ai|Ai Climate Adaptation|Space Agriculture Ai|Quantum Communication Ai|Robotics Surgery Ai|Ai Disaster Response|Smart City Governance|Ai Environmental Monitoring|Space Manufacturing Ai|Ace Construction|Residential Construction|Commercial Construction|Industrial Construction|Construction Equipment Rental|Construction Project Management|Green Building Services|Home Renovation Services|Roofing Company|Electrical Services|HVAC Services|Painting Services|Flooring Services|Landscaping Services|Demolition Services|Concrete Services|Carpentry Services|Window Installation|Insulation Services|Property Holdings,aligned
Worldwidebro/ai-001-ai-command-center,ai-001-ai-command-center,True,OpenClaw orchestration dashboard with AI agent management - Part of Civilization OS venture ecosyste,Python,0,47,FIN-005-U-Haul-Rental-Affiliate|EDU-008-Branding-Templates-Marketplace|EM-001-Space-Habitat-AI|EM-002-Fusion-Energy-AI|EM-003-Teleportation-Research-AI|EM-004-Climate-Solutions-AI|EM-005-Holographic-Events-AI|EM-006-Neurofeedback-AI|EM-007-Autonomous-Delivery-AI|EM-008-Gene-Editing-AI|EM-009-Space-Tourism-AI|EM-010-Wearables-AI|EM-012-Energy-Grid-AI|EM-013-Brain-Computer-Interface|EM-014-Ocean-Cleanup-AI|EM-015-Crypto-Trading-AI|EM-016-Synthetic-Media-AI|EM-017-Space-Mining-AI|EM-018-VR-Therapy-AI|EM-019-Weather-Prediction-AI|EM-020-Autonomous-Farming-AI|EM-021-Traffic-Optimizer-AI|EM-022-Smart-Grid-AI|EM-023-Disaster-Prediction-AI|EM-024-Nanotech-AI|EM-025-Personalized-Medicine-AI|EM-027-Sustainable-Cities-AI|EM-028-Renewable-Energy-AI|EM-029-Climate-Modeling-AI|EM-030-Policy-Advisor-AI|EM-032-Global-Challenges-AI|EM-033-Space-Exploration-AI|EM-034-Education-Equity-AI|EM-035-Health-Equity-AI|EM-036-Economic-Equity-AI|EM-037-Environmental-Justice-AI|EM-038-Human-Rights-AI|EM-039-Peacebuilding-AI|EM-040-Telemedicine-AI|EM-041-AI-Climate-Adaptation|EM-042-Space-Agriculture-AI|EM-043-Quantum-Communication-AI|EM-044-Robotics-Surgery-AI|EM-045-AI-Disaster-Response|EM-046-Smart-City-Governance|EM-047-AI-Environmental-Monitoring|EM-048-Space-Manufacturing-AI,U Haul Rental Affiliate|Branding Templates Marketplace|Space Habitat Ai|Fusion Energy Ai|Teleportation Research Ai|Climate Solutions Ai|Holographic Events Ai|Neurofeedback Ai|Autonomous Delivery Ai|Gene Editing Ai|Space Tourism Ai|Wearables Ai|Energy Grid Ai|Brain Computer Interface|Ocean Cleanup Ai|Crypto Trading Ai|Synthetic Media Ai|Space Mining Ai|Vr Therapy Ai|Weather Prediction Ai|Autonomous Farming Ai|Traffic Optimizer Ai|Smart Grid Ai|Disaster Prediction Ai|Nanotech Ai|Personalized Medicine Ai|Sustainable Cities Ai|Renewable Energy Ai|Climate Modeling Ai|Policy Advisor Ai|Global Challenges Ai|Space Exploration Ai|Education Equity Ai|Health Equity Ai|Economic Equity Ai|Environmental Justice Ai|Human Rights Ai|Peacebuilding Ai|Telemedicine Ai|Ai Climate Adaptation|Space Agriculture Ai|Quantum Communication Ai|Robotics Surgery Ai|Ai Disaster Response|Smart City Governance|Ai Environmental Monitoring|Space Manufacturing Ai,aligned
Worldwidebro/ai-002-api,ai-002-api,True,Backend API for the CogniFlow web application.,,0,2,FIN-005-U-Haul-Rental-Affiliate|EDU-008-Branding-Templates-Marketplace,U Haul Rental Affiliate|Branding Templates Marketplace,aligned
Worldwidebro/billionaire-brain-assistant,billionaire-brain-assistant,True,AI-powered business intelligence for billionaire consciousness empire,Python,0,18,CON-001-ACE-CONSTRUCTION|CON-002-RESIDENTIAL-CONSTRUCTION|CON-003-COMMERCIAL-CONSTRUCTION|CON-004-INDUSTRIAL-CONSTRUCTION|CON-005-CONSTRUCTION-EQUIPMENT-RENTAL|CON-006-CONSTRUCTION-PROJECT-MANAGEMENT|CON-007-GREEN-BUILDING-SERVICES|CON-008-HOME-RENOVATION-SERVICES|CON-009-ROOFING-COMPANY|CON-011-ELECTRICAL-SERVICES|CON-012-HVAC-SERVICES|CON-013-PAINTING-SERVICES|CON-014-FLOORING-SERVICES|CON-015-LANDSCAPING-SERVICES|CON-016-DEMOLITION-SERVICES|CON-018-CARPENTRY-SERVICES|CON-019-WINDOW-INSTALLATION|CON-020-INSULATION-SERVICES,Ace Construction|Residential Construction|Commercial Construction|Industrial Construction|Construction Equipment Rental|Construction Project Management|Green Building Services|Home Renovation Services|Roofing Company|Electrical Services|HVAC Services|Painting Services|Flooring Services|Landscaping Services|Demolition Services|Carpentry Services|Window Installation|Insulation Services,aligned
Worldwidebro/billionaire-consciousness-empire,billionaire-consciousness-empire,True,Main business entity for billionaire consciousness empire operations,TypeScript,0,15,CON-001-ACE-CONSTRUCTION|CON-003-COMMERCIAL-CONSTRUCTION|CON-004-INDUSTRIAL-CONSTRUCTION|CON-005-CONSTRUCTION-EQUIPMENT-RENTAL|CON-006-CONSTRUCTION-PROJECT-MANAGEMENT|CON-007-GREEN-BUILDING-SERVICES|CON-008-HOME-RENOVATION-SERVICES|CON-009-ROOFING-COMPANY|CON-011-ELECTRICAL-SERVICES|CON-014-FLOORING-SERVICES|CON-015-LANDSCAPING-SERVICES|CON-016-DEMOLITION-SERVICES|CON-018-CARPENTRY-SERVICES|CON-019-WINDOW-INSTALLATION|CON-020-INSULATION-SERVICES,Ace Construction|Commercial Construction|Industrial Construction|Construction Equipment Rental|Construction Project Management|Green Building Services|Home Renovation Services|Roofing Company|Electrical Services|Flooring Services|Landscaping Services|Demolition Services|Carpentry Services|Window Installation|Insulation Services,aligned
Worldwidebro/business-template-marketplace,business-template-marketplace,True,🏪 Complete Business Template Marketplace - 487 AI-powered business templates with automated generati,Python,0,168,FIN-002-Credit-Repair-Automation|FIN-006-Tax-Prep-Filing-Services|FIN-007-Business-Credit-Building|FIN-009-Crypto-Tax-Optimizer|FIN-011-Automated-Bookkeeping|FIN-012-Invoice-Factoring-AI|FIN-015-Financial-Wellness-Coach|FIN-019-Payment-Gateway-AI|FIN-021-Tax-Deduction-Finder|EC-005-Sunglasses-AI|EC-006-Dropship-Hub|EC-007-Personal-Shopper-AI|EC-008-Custom-Sneaker-AI|EC-009-Sustainable-Fashion-AI|EC-010-Jewelry-Designer-AI|EC-011-Virtual-Try-On-AI|EC-012-Fashion-Designer-AI|EC-013-Merch-Licensing|EC-014-Subscription-Box-AI|EC-015-Surf-Gear-AI|EC-016-Ski-Gear-AI|EC-017-Golf-Gear-AI|EC-018-Fishing-Gear-AI|EC-019-Yoga-Gear-AI|EC-020-Costume-Shop-AI|EC-021-Luggage-AI|EC-022-Home-Appliance-AI|EC-023-Tool-Shop-AI|EC-024-Garden-Supply-AI|EC-025-Collectible-AI|EC-026-Hobby-Shop-AI|EC-027-Kids-Toy-Line|EC-028-NFT-Fashion-Licensing|EC-029-Instant-Brand-Generator|EC-030-AI-Product-Photographer|EC-031-Automated-Inventory-Forecaster|EC-032-Dynamic-Pricing-Engine|EC-033-Ad-Optimizer-AI|EC-034-Recommendation-Engine|EC-035-Review-Aggregator-AI|EC-036-Fulfillment-Network-AI|EC-037-Return-Optimization-AI|EC-038-Chatbot-Customer-Service|EC-039-Visual-Search-AI|EC-040-Abandoned-Cart-Recovery|EC-041-Seasonal-Trend-Predictor|EC-042-Influencer-Matchmaker|EC-043-UGC-Content-Aggregator|EC-044-Live-Commerce-Platform|EC-045-AR-Virtual-Fitting-Room|EC-046-3D-Product-Viewer|EC-047-Carbon-Footprint-Tracker|EC-048-Wholesale-Marketplace-AI|EC-049-Rental-Marketplace|EC-050-AI-Product-Descriptions|EC-051-AI-Email-Marketing|EC-052-AI-Product-Bundler|EC-053-AI-Visual-Merchandiser|EC-054-AI-Demand-Forecasting|EC-055-AI-Warehouse-Management|EC-056-AI-Supplier-Matching|EC-057-AI-Quality-Control|EC-058-AI-Packaging-Designer|EC-059-AI-Logistics-Planner|EC-060-AI-Customer-Loyalty|EC-061-AI-Gift-Finder|EC-062-AI-Trend-Hunter|EC-063-AI-Market-Research|EC-064-AI-Competitor-Watcher|EC-065-AI-Product-Development|EC-066-AI-Customer-Journey|EC-067-AI-Payment-Optimization|EC-068-AI-Returns-Management|EC-069-AI-Shipping-Labeler|EC-070-AI-Product-Launch-Coach|EC-071-AI-Vendor-Negotiator|EC-072-AI-Product-Cataloger|EC-073-AI-Order-Prioritizer|EC-074-AI-Customer-Segmentation|EC-075-AI-Pricing-Analyst|EC-076-AI-Sales-Forecasting|EC-077-AI-Inventory-Reordering|EC-078-AI-Product-Comparison|EC-079-AI-Customer-Feedback|EC-080-AI-Product-Updates|EC-081-AI-Cross-Selling|EC-082-AI-Up-Selling|EC-083-AI-Product-Education|EC-084-AI-Purchase-Timing|EC-085-AI-Customer-Support|EC-086-AI-Order-Tracking|EC-087-AI-Product-Reviews|EC-088-AI-Customer-Community|EC-089-AI-Product-Customization|EC-090-AI-Gift-Registry|EC-091-AI-Wedding-Registry|EC-092-AI-Baby-Registry|EC-093-AI-Holiday-Planner|EC-094-AI-Personal-Shopper|EC-095-AI-Color-Match|EC-096-AI-Fabric-Advisor|EC-097-AI-Fit-Recommendation|EC-098-AI-Outfit-Builder|EC-099-AI-Seasonal-Forecast|EC-100-AI-Wardrobe-Planner|EC-101-AI-Accessory-Match|EC-102-AI-Shoe-Match|EC-103-AI-Jewelry-Match|EC-104-AI-Bag-Match|EC-105-AI-Color-Palette|EC-106-AI-Outfit-Recycling|EC-107-AI-Style-Evolution|EC-108-AI-Budget-Stylist|EC-109-AI-Trend-Archive|EC-110-AI-Vintage-Advisor|TECH-020-Recommendation-Engine|TECH-052-Recommendation-Engine|COMM-001-Luminary-Worldwide-Events|COMM-002-Brotherhood-Coaching-Network|COMM-003-Ace-Senior-Care-Connect|COMM-004-Community-Outreach-Nonprofit|COMM-005-Ace-Food-Security-AI|COMM-006-Community-Technology-Access-AI|COMM-007-Youth-Leadership-AI|COMM-008-Community-Fundraising-AI|COMM-009-Volunteer-Hub-AI|COMM-010-Disaster-Relief-AI|COMM-011-Indigenous-Creator-Hub|COMM-012-Black-Art-Museum-AI|COMM-013-Women-s-Empowerment-Network|COMM-014-Veterans-Support-AI|COMM-015-Youth-Mentorship-Program|COMM-016-Community-Health-AI|COMM-017-Local-Business-Directory|COMM-018-Neighborhood-Watch-AI|COMM-019-Community-Garden-AI|COMM-020-Public-Transportation-AI|COMM-021-Housing-Assistance-AI|COMM-022-Job-Training-Center|COMM-023-Elder-Companion-AI|COMM-024-Youth-Sports-AI|COMM-025-Community-Legal-Aid|COMM-026-Public-Education-AI|COMM-027-Local-Government-AI|COMM-028-Public-Safety-AI|COMM-029-Community-Wellness-AI|COMM-030-Cultural-Exchange-AI|COMM-031-Community-Investment-AI|COMM-032-Public-Health-AI|COMM-033-Youth-Innovation-Hub|COMM-034-Senior-Tech-Support|COMM-035-Community-Arts-AI|COMM-036-Public-Infrastructure-AI|COMM-037-Neighborhood-Development-AI|COMM-038-Community-Policing-AI|COMM-039-Public-Space-AI|COMM-040-Community-Recycling-AI|COMM-041-Public-Wi-Fi-AI|COMM-042-Community-Energy-AI|COMM-043-Local-Food-Network-AI|COMM-044-Community-Volunteering-AI|COMM-045-Public-Childcare-AI|COMM-046-Community-Pet-Care-AI|COMM-047-Public-Fitness-AI|COMM-048-Community-Transportation-AI|COMM-049-Public-Event-AI|COMM-050-Community-Cultural-AI|SPEC-018-AI-Personal-Shopper,Credit Repair Automation|Tax Prep Filing Services|Business Credit Building|Crypto Tax Optimizer|Automated Bookkeeping|Invoice Factoring Ai|Financial Wellness Coach|Payment Gateway Ai|Tax Deduction Finder|Sunglasses Ai|Dropship Hub|Personal Shopper Ai|Custom Sneaker Ai|Sustainable Fashion Ai|Jewelry Designer Ai|Virtual Try On Ai|Fashion Designer Ai|Merch Licensing|Subscription Box Ai|Surf Gear Ai|Ski Gear Ai|Golf Gear Ai|Fishing Gear Ai|Yoga Gear Ai|Costume Shop Ai|Luggage Ai|Home Appliance Ai|Tool Shop Ai|Garden Supply Ai|Collectible Ai|Hobby Shop Ai|Kids Toy Line|Nft Fashion Licensing|Instant Brand Generator|Ai Product Photographer|Automated Inventory Forecaster|Dynamic Pricing Engine|Ad Optimizer Ai|Recommendation Engine|Review Aggregator Ai|Fulfillment Network Ai|Return Optimization Ai|Chatbot Customer Service|Visual Search Ai|Abandoned Cart Recovery|Seasonal Trend Predictor|Influencer Matchmaker|Ugc Content Aggregator|Live Commerce Platform|Ar Virtual Fitting Room|3D Product Viewer|Carbon Footprint Tracker|Wholesale Marketplace Ai|Rental Marketplace|Ai Product Descriptions|Ai Email Marketing|Ai Product Bundler|Ai Visual Merchandiser|Ai Demand Forecasting|Ai Warehouse Management|Ai Supplier Matching|Ai Quality Control|Ai Packaging Designer|Ai Logistics Planner|Ai Customer Loyalty|Ai Gift Finder|Ai Trend Hunter|Ai Market Research|Ai Competitor Watcher|Ai Product Development|Ai Customer Journey|Ai Payment Optimization|Ai Returns Management|Ai Shipping Labeler|Ai Product Launch Coach|Ai Vendor Negotiator|Ai Product Cataloger|Ai Order Prioritizer|Ai Customer Segmentation|Ai Pricing Analyst|Ai Sales Forecasting|Ai Inventory Reordering|Ai Product Comparison|Ai Customer Feedback|Ai Product Updates|Ai Cross Selling|Ai Up Selling|Ai Product Education|Ai Purchase Timing|Ai Customer Support|Ai Order Tracking|Ai Product Reviews|Ai Customer Community|Ai Product Customization|Ai Gift Registry|Ai Wedding Registry|Ai Baby Registry|Ai Holiday Planner|Ai Personal Shopper|Ai Color Match|Ai Fabric Advisor|Ai Fit Recommendation|Ai Outfit Builder|Ai Seasonal Forecast|Ai Wardrobe Planner|Ai Accessory Match|Ai Shoe Match|Ai Jewelry Match|Ai Bag Match|Ai Color Palette|Ai Outfit Recycling|Ai Style Evolution|Ai Budget Stylist|Ai Trend Archive|Ai Vintage Advisor|Recommendation Engine|Recommendation Engine|Luminary Worldwide Events|Brotherhood Coaching Network|Ace Senior Care Connect|Community Outreach Nonprofit|Ace Food Security Ai|Community Technology Access Ai|Youth Leadership Ai|Community Fundraising Ai|Volunteer Hub Ai|Disaster Relief Ai|Indigenous Creator Hub|Black Art Museum Ai|Women S Empowerment Network|Veterans Support Ai|Youth Mentorship Program|Community Health Ai|Local Business Directory|Neighborhood Watch Ai|Community Garden Ai|Public Transportation Ai|Housing Assistance Ai|Job Training Center|Elder Companion Ai|Youth Sports Ai|Community Legal Aid|Public Education Ai|Local Government Ai|Public Safety Ai|Community Wellness Ai|Cultural Exchange Ai|Community Investment Ai|Public Health Ai|Youth Innovation Hub|Senior Tech Support|Community Arts Ai|Public Infrastructure Ai|Neighborhood Development Ai|Community Policing Ai|Public Space Ai|Community Recycling Ai|Public Wi Fi Ai|Community Energy Ai|Local Food Network Ai|Community Volunteering Ai|Public Childcare Ai|Community Pet Care Ai|Public Fitness Ai|Community Transportation Ai|Public Event Ai|Community Cultural Ai|Ai Personal Shopper,aligned
Worldwidebro/bw-001-contracts,bw-001-contracts,True,ARCHIVED → merged into bw-001-up-next-business,HTML,0,40,BW-001-Lash-Extension-Studio|BW-002-Mobile-Lash-Service|BW-003-Luxury-Lash-Bar|BW-004-Lash-Training-Academy|BW-005-Lash-Supply-Company|BW-006-Lash-Glue-Brand|BW-007-Lash-Kits-&-Tools|BW-008-Private-Label-Lashes|BW-009-Franchise-Lash-Salons|BW-010-Online-Lash-Education|BW-011-Nail-Salon|BW-012-Mobile-Nail-Tech|BW-013-Luxury-Nail-Spa|BW-014-Press-On-Nail-Brand|BW-015-Nail-Art-Studio|BW-016-Nail-Polish-Brand|BW-017-Nail-Care-Products|BW-018-Nail-Booking-Marketplace|BW-019-Salon-Management-Software|BW-020-AI-Nail-Design-Generator|BW-021-Hair-Salon|BW-022-Barbershop|BW-023-Mobile-Hairstyling|BW-024-Hair-Braiding-Studio|BW-025-Wig-Installation-Studio|BW-026-Hair-Extension-Salon|BW-027-Hair-Care-Line|BW-028-Wig-Brand|BW-029-Hair-Extensions-Brand|BW-030-Scalp-Treatment-Products|BW-031-Hair-Marketplace|BW-032-Stylist-Booking-Platform|BW-033-AI-Hairstyle-Simulator|BW-034-Salon-Franchise-Chain|BW-035-Makeup-Studio|BW-036-Bridal-Makeup-Service|BW-037-Mobile-Makeup-Artist|BW-038-Photoshoot-Makeup-Team|BW-039-Cosmetics-Brand|BW-040-Beauty-Tools-Brand,Lash Extension Studio|Mobile Lash Service|Luxury Lash Bar|Lash Training Academy|Lash Supply Company|Lash Glue Brand|Lash Kits & Tools|Private Label Lashes|Franchise Lash Salons|Online Lash Education|Nail Salon|Mobile Nail Tech|Luxury Nail Spa|Press On Nail Brand|Nail Art Studio|Nail Polish Brand|Nail Care Products|Nail Booking Marketplace|Salon Management Software|Ai Nail Design Generator|Hair Salon|Barbershop|Mobile Hairstyling|Hair Braiding Studio|Wig Installation Studio|Hair Extension Salon|Hair Care Line|Wig Brand|Hair Extensions Brand|Scalp Treatment Products|Hair Marketplace|Stylist Booking Platform|Ai Hairstyle Simulator|Salon Franchise Chain|Makeup Studio|Bridal Makeup Service|Mobile Makeup Artist|Photoshoot Makeup Team|Cosmetics Brand|Beauty Tools Brand,aligned
Worldwidebro/bw-001-lash-extension-studio,bw-001-lash-extension-studio,True,Civilization OS — BW-001-Lash-Extension-Studio,,0,40,BW-001-Lash-Extension-Studio|BW-002-Mobile-Lash-Service|BW-003-Luxury-Lash-Bar|BW-004-Lash-Training-Academy|BW-005-Lash-Supply-Company|BW-006-Lash-Glue-Brand|BW-007-Lash-Kits-&-Tools|BW-008-Private-Label-Lashes|BW-009-Franchise-Lash-Salons|BW-010-Online-Lash-Education|BW-011-Nail-Salon|BW-012-Mobile-Nail-Tech|BW-013-Luxury-Nail-Spa|BW-014-Press-On-Nail-Brand|BW-015-Nail-Art-Studio|BW-016-Nail-Polish-Brand|BW-017-Nail-Care-Products|BW-018-Nail-Booking-Marketplace|BW-019-Salon-Management-Software|BW-020-AI-Nail-Design-Generator|BW-021-Hair-Salon|BW-022-Barbershop|BW-023-Mobile-Hairstyling|BW-024-Hair-Braiding-Studio|BW-025-Wig-Installation-Studio|BW-026-Hair-Extension-Salon|BW-027-Hair-Care-Line|BW-028-Wig-Brand|BW-029-Hair-Extensions-Brand|BW-030-Scalp-Treatment-Products|BW-031-Hair-Marketplace|BW-032-Stylist-Booking-Platform|BW-033-AI-Hairstyle-Simulator|BW-034-Salon-Franchise-Chain|BW-035-Makeup-Studio|BW-036-Bridal-Makeup-Service|BW-037-Mobile-Makeup-Artist|BW-038-Photoshoot-Makeup-Team|BW-039-Cosmetics-Brand|BW-040-Beauty-Tools-Brand,Lash Extension Studio|Mobile Lash Service|Luxury Lash Bar|Lash Training Academy|Lash Supply Company|Lash Glue Brand|Lash Kits & Tools|Private Label Lashes|Franchise Lash Salons|Online Lash Education|Nail Salon|Mobile Nail Tech|Luxury Nail Spa|Press On Nail Brand|Nail Art Studio|Nail Polish Brand|Nail Care Products|Nail Booking Marketplace|Salon Management Software|Ai Nail Design Generator|Hair Salon|Barbershop|Mobile Hairstyling|Hair Braiding Studio|Wig Installation Studio|Hair Extension Salon|Hair Care Line|Wig Brand|Hair Extensions Brand|Scalp Treatment Products|Hair Marketplace|Stylist Booking Platform|Ai Hairstyle Simulator|Salon Franchise Chain|Makeup Studio|Bridal Makeup Service|Mobile Makeup Artist|Photoshoot Makeup Team|Cosmetics Brand|Beauty Tools Brand,aligned
