venture_id,name,sector,opco,revenue_model,pricing_range,basis
FIN-001-GenixBank-Lite,Genixbank Lite,financial,FINANCIAL,Subscription SaaS,$49-149/month,sector default: financial
FIN-002-Credit-Repair-Automation,Credit Repair Automation,financial,FINANCIAL,Subscription SaaS,$29-99/month,keyword match: ai
FIN-003-AI-Boss-Hub-Lite,Ai Boss Hub Lite,financial,FINANCIAL,Subscription SaaS,$29-99/month,keyword match: ai
FIN-004-GenixBanks-AI-Treasurer,Genixbanks Ai Treasurer,financial,FINANCIAL,Subscription SaaS,$29-99/month,keyword match: ai
FIN-005-U-Haul-Rental-Affiliate,U Haul Rental Affiliate,financial,FINANCIAL,Affiliate commission,5-15% per referred transaction,keyword match: affiliate
FIN-006-Tax-Prep-Filing-Services,Tax Prep Filing Services,financial,FINANCIAL,Per-filing fee,$49-249 per return,keyword match: tax prep
FIN-007-Business-Credit-Building,Business Credit Building,financial,FINANCIAL,Subscription SaaS,$49-149/month,sector default: financial
FIN-008-Business-Formation-Services,Business Formation Services,financial,FINANCIAL,Flat formation fee,$99-499 one-time + annual renewal,keyword match: formation
FIN-009-Crypto-Tax-Optimizer,Crypto Tax Optimizer,financial,FINANCIAL,Subscription SaaS,$29-99/month,keyword match: optimizer
FIN-010-AI-Powered-Garbage-Collection,Ai Powered Garbage Collection,financial,FINANCIAL,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: garbage
FIN-011-Automated-Bookkeeping,Automated Bookkeeping,financial,FINANCIAL,Subscription (accounting SaaS),$49-149 / month,keyword match: bookkeeping
FIN-012-Invoice-Factoring-AI,Invoice Factoring Ai,financial,FINANCIAL,Per-transaction fee,1-3% + flat fee per transaction,keyword match: invoice factoring
FIN-013-Charity-Donation-AI,Charity Donation Ai,financial,FINANCIAL,Subscription SaaS,$29-99/month,keyword match: ai
FIN-014-Expense-Tracker-AI,Expense Tracker Ai,financial,FINANCIAL,Subscription (accounting SaaS),$49-149 / month,keyword match: expense
FIN-015-Financial-Wellness-Coach,Financial Wellness Coach,financial,FINANCIAL,Course fee or subscription,$19-99 one-time or /month,keyword match: coach
FIN-016-Trade-Finance-AI,Trade Finance Ai,financial,FINANCIAL,Subscription SaaS,$29-99/month,keyword match: ai
FIN-017-Remittance-AI,Remittance Ai,financial,FINANCIAL,Per-transaction fee,1-3% + flat fee per transaction,keyword match: remittance
FIN-018-Wealth-Transfer-AI,Wealth Transfer Ai,financial,FINANCIAL,AUM / management fee,0.25-1% of assets managed,keyword match: wealth
FIN-019-Payment-Gateway-AI,Payment Gateway Ai,financial,FINANCIAL,Per-transaction fee,1-3% + flat fee per transaction,keyword match: payment
FIN-020-Debt-Consolidation-AI,Debt Consolidation Ai,financial,FINANCIAL,Subscription SaaS,$29-99/month,keyword match: ai
FIN-021-Tax-Deduction-Finder,Tax Deduction Finder,financial,FINANCIAL,Subscription SaaS,$49-149/month,sector default: financial
FIN-022-Budget-Forecasting-AI,Budget Forecasting Ai,financial,FINANCIAL,Subscription SaaS,$29-99/month,keyword match: ai
FIN-023-Investment-Portfolio-AI,Investment Portfolio Ai,financial,FINANCIAL,AUM / management fee,0.25-1% of assets managed,keyword match: portfolio
FIN-024-Crowdfunding-AI,Crowdfunding Ai,financial,FINANCIAL,Capital-raise fee,5-8% of funds raised,keyword match: crowdfunding
FIN-025-Escrow-Automation,Escrow Automation,financial,FINANCIAL,Per-transaction fee,1-3% + flat fee per transaction,keyword match: escrow
FIN-026-Financial-Compliance-Scanner,Financial Compliance Scanner,financial,FINANCIAL,B2B compliance SaaS,$199-499/month per institution monitored,keyword match: compliance
FIN-027-Patent-Writer-AI,Patent Writer Ai,financial,FINANCIAL,Per-document fee or subscription,$29-79 / month or per-document,keyword match: patent
FIN-028-Legal-Analyzer-AI,Legal Analyzer Ai,financial,FINANCIAL,Per-document fee or subscription,$29-79 / month or per-document,keyword match: legal
FIN-029-Compliance-Wallet-SaaS,Compliance Wallet Saas,financial,FINANCIAL,B2B compliance SaaS,$199-499/month per institution monitored,keyword match: compliance
FIN-030-Local-SEO-Ranker-AI,Local Seo Ranker Ai,financial,FINANCIAL,Local SaaS subscription,$99-299/month per business,keyword match: seo
FIN-031-Investor-Dashboard-Builder,Investor Dashboard Builder,financial,FINANCIAL,Capital-raise fee,5-8% of funds raised,keyword match: investor dashboard
FIN-032-Legal-Toolkit-AI,Legal Toolkit Ai,financial,FINANCIAL,Per-document fee or subscription,$29-79 / month or per-document,keyword match: legal
FIN-033-AI-Tax-Preparation-Service,Ai Tax Preparation Service,financial,FINANCIAL,Per-filing fee,$49-249 per return,keyword match: tax prep
FIN-034-Payroll-Automation,Payroll Automation,financial,FINANCIAL,Per-employee SaaS fee,$5-10 / employee / month,keyword match: payroll
FIN-035-Insurance-Underwriting-AI,Insurance Underwriting Ai,financial,FINANCIAL,Premium-based fee,% of referred premium or per-policy fee,keyword match: insurance
FIN-036-Arbitrage-Nexus-Platform,Arbitrage Nexus Platform,financial,FINANCIAL,Subscription SaaS,$49-149/month,sector default: financial
BW-001-Lash-Extension-Studio,Lash Extension Studio,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
BW-002-Mobile-Lash-Service,Mobile Lash Service,beauty-wellness,BEAUTY-WELLNESS,Membership / per-session fee,$29-99/month,sector default: beauty-wellness
