venture_id,live_url,http_status,bytes,primary_audience,has_lead_form,has_analytics,has_payments,shows_product_working,marketing_stage,next_action
COMM-001-Luminary-Worldwide-Events,https://comm-001-luminary-worldwide-events.vercel.app,200,16754,customer-facing (community/beneficiary),yes,no,no,no,1-landing_only,add analytics; add donor/funder variant later
COMM-002-Brotherhood-Coaching-Network,https://comm-002-brotherhood-coaching-netwo.vercel.app,200,16833,customer-facing (community/beneficiary),yes,no,no,no,1-landing_only,add analytics; add donor/funder variant later
COMM-003-Ace-Senior-Care-Connect,https://comm-003-ace-senior-care-connect.vercel.app,200,16998,customer-facing (community/beneficiary),yes,no,no,no,1-landing_only,add analytics; add donor/funder variant later
COMM-004-Community-Outreach-Nonprofit,https://comm-004-community-outreach-nonprof.vercel.app,200,16833,customer-facing (community/beneficiary),yes,no,no,no,1-landing_only,add analytics; add donor/funder variant later
COMM-005-Ace-Food-Security-AI,https://comm-005-ace-food-security-ai.vercel.app,200,17063,customer-facing (community/beneficiary),yes,no,no,no,1-landing_only,add analytics; add donor/funder variant later
COMM-006-Community-Technology-Access-AI,https://comm-006-community-technology-acces.vercel.app,200,16914,customer-facing (community/beneficiary),yes,no,no,no,1-landing_only,add analytics; add donor/funder variant later
COMM-007-Youth-Leadership-AI,https://comm-007-youth-leadership-ai.vercel.app,200,16808,customer-facing (community/beneficiary),yes,no,no,no,1-landing_only,add analytics; add donor/funder variant later
COMM-008-Community-Fundraising-AI,https://comm-008-community-fundraising-ai.vercel.app,200,16705,customer-facing (community/beneficiary),yes,no,no,no,1-landing_only,add analytics; add donor/funder variant later
COMM-009-Volunteer-Hub-AI,https://comm-009-volunteer-hub-ai.vercel.app,200,16461,customer-facing (community/beneficiary),yes,no,no,no,1-landing_only,add analytics; add donor/funder variant later
COMM-010-Disaster-Relief-AI,https://comm-010-disaster-relief-ai.vercel.app,200,17299,customer-facing (community/beneficiary),yes,no,no,no,1-landing_only,add analytics; add donor/funder variant later
COMM-011-Indigenous-Creator-Hub,https://comm-011-indigenous-creator-hub.vercel.app,200,16641,customer-facing (community/beneficiary),yes,no,no,no,1-landing_only,add analytics; add donor/funder variant later
COMM-012-Black-Art-Museum-AI,https://comm-012-black-art-museum-ai.vercel.app,200,16545,customer-facing (community/beneficiary),yes,no,no,no,1-landing_only,add analytics; add donor/funder variant later
COMM-013-Women-s-Empowerment-Network,https://comm-013-women-s-empowerment-networ.vercel.app,200,16801,customer-facing (community/beneficiary),yes,no,no,no,1-landing_only,add analytics; add donor/funder variant later
COMM-015-Youth-Mentorship-Program,https://comm-015-youth-mentorship-program.vercel.app,200,16968,customer-facing (community/beneficiary),yes,no,no,no,1-landing_only,add analytics; add donor/funder variant later
CON-001-ACE-CONSTRUCTION,https://con-001-ace-construction.vercel.app,200,55562,customer-facing (pilot),yes,no,no,unknown-needs_manual_review,1-landing_only,wire analytics + confirm lead form delivers (Resend/Cloudflare blocker per memory)
OPS-001-VENTURE-STAFFING,https://ops-staff-001-staffing.vercel.app,200,9088,customer-facing (B2B - employers),no,no,no,no,0-no_conversion_path,add lead capture for employer inquiries
ET-011-Landing-Kit-Template-Demo,https://edu-landing-kit-template.vercel.app,200,473,template-not-a-venture,no,no,no,no,n/a,this is the reusable template not a real venture - exclude from venture marketing audits
FIN-001-GenixBank-Lite,https://genixbank-hero-site.vercel.app,200,490,customer-facing (B2B - business banking),no,no,no,unknown-SPA_shell_curl_cant_see_JS,0-no_conversion_path,manual browser check (client-rendered SPA curl only sees shell)
FIN-006-Tax-Prep-Filing-Services,https://fin-006-tax-prep-filing-services.vercel.app,200,8855,customer-facing (B2C - taxpayers),no,no,no,no,0-no_conversion_path,add lead capture for tax filing intake
FIN-009-Crypto-Tax-Optimizer,https://fin-009-crypto-tax-optimizer.vercel.app,200,8961,customer-facing (B2C - taxpayers),yes,no,no,no,1-landing_only,add analytics
FIN-021-Tax-Deduction-Finder,https://fin-021-tax-deduction-finder.vercel.app,200,9008,customer-facing (B2C - taxpayers),no,no,no,no,0-no_conversion_path,add lead capture for tax filing intake
FIN-033-AI-Tax-Preparation-Service,https://fin-033-ai-tax-preparation-service.vercel.app,200,9002,customer-facing (B2C - taxpayers),yes,no,no,no,1-landing_only,add analytics
MC-006-Video-Production-Company,https://mc-006-video-production-company.vercel.app,200,773,customer-facing (B2B/B2C - clients),no,no,no,unknown-SPA_shell_curl_cant_see_JS,0-no_conversion_path,manual browser check (client-rendered SPA curl only sees shell)
EC-111-Miss-Toys,not_publicly_deployed,n/a,n/a,customer-facing (e-comm),n/a,n/a,unknown,yes-locally,not_deployed,Medusa backend live LOCALLY with 7 priced products per memory; storefront to Stripe to Vercel or Railway deploy still blocked on railway login
EC-112-Cosmic-Kitty,https://cosmic-kitty.vercel.app,protected_by_SSO,n/a,customer-facing (e-comm),n/a,n/a,unknown,unknown-SSO_blocked,0-deployed_but_unreachable,remove Vercel SSO protection so the public can actually reach it - currently auth-walled for real visitors
