venture_id,venture_name,sector,template_id,campaign_name,budget,status,start_date,target_stage,channels,success_metrics
v-hrms-001,HRMS Payroll SaaS,HRMS,tmpl-service-launch,HRMS MVP Launch,3000,planning,2026-06-15,12,email|linkedin|partnerships,5 paying customers|$3000 MRR|3 case studies
v-graphify-001,Graphify,Knowledge Ops,tmpl-product-launch,Graphify Public Beta Drop,5000,planning,2026-06-20,12,twitter|youtube|product_hunt|email,1000 signups|500 beta users|50 GitHub stars
v-pitch-kit-001,Pitch Kit,SaaS,tmpl-product-launch,Pitch Kit Product Launch,4500,active,2026-05-15,9,twitter|email|content|instagram,2000 signups|$2500 MRR|100 paying users
v-niche-mastery-001,Niche Mastery OS,SaaS,tmpl-content-series,Niche Mastery Content Drop,1500,planning,2026-06-25,6,youtube|email|twitter,50K views|500 subscribers|20 leads
con-001-construction,Ace Construction,Construction,tmpl-service-launch,Construction Services GTM,2500,completed,2026-04-15,12,email|youtube|twitter,8 qualified leads|$1200 MRR|3 contracts
staffing-001,Staffing Agency Hub,Staffing,tmpl-product-launch,Staffing Platform Launch,5500,active,2026-05-01,10,linkedin|email|partnerships,300 recruiter signups|$5000 MRR|50 placements
fin-001,Investment Portfolio AI,FinTech,tmpl-service-launch,Portfolio AI SaaS Launch,4000,planning,2026-07-01,12,linkedin|email|twitter|product_hunt,50 beta users|$2000 MRR|100 paying customers
hvac-summer,HVAC Services,Construction,tmpl-content-series,Summer HVAC Campaign,2000,active,2026-05-01,5,youtube|instagram|email,10K views|200 leads|$8000 revenue
b2b-saas-001,B2B SaaS Template,SaaS,tmpl-product-launch,B2B Enterprise Launch,6000,planning,2026-07-15,12,linkedin|email|sales|partnerships,10 enterprise demos|$15000 MRR
creator-platform,Creator Platform,Creator Economy,tmpl-community-growth,Creator Community Growth,3500,planning,2026-06-30,8,twitter|discord|email|youtube,5000 creators|1000 paid members|$8000 MRR
