venture_id,name,sector,opco,stage,status
FIN-001-GenixBank-Lite,Genixbank Lite,financial,FINANCIAL,planned,planned
FIN-002-Credit-Repair-Automation,Credit Repair Automation,financial,FINANCIAL,planned,planned
FIN-003-AI-Boss-Hub-Lite,Ai Boss Hub Lite,financial,FINANCIAL,planned,planned
FIN-004-GenixBanks-AI-Treasurer,Genixbanks Ai Treasurer,financial,FINANCIAL,planned,planned
FIN-005-U-Haul-Rental-Affiliate,U Haul Rental Affiliate,financial,FINANCIAL,planned,planned
FIN-006-Tax-Prep-Filing-Services,Tax Prep Filing Services,financial,FINANCIAL,planned,planned
FIN-007-Business-Credit-Building,Business Credit Building,financial,FINANCIAL,planned,planned
FIN-008-Business-Formation-Services,Business Formation Services,financial,FINANCIAL,planned,planned
FIN-009-Crypto-Tax-Optimizer,Crypto Tax Optimizer,financial,FINANCIAL,planned,planned
FIN-010-AI-Powered-Garbage-Collection,Ai Powered Garbage Collection,financial,FINANCIAL,planned,planned
FIN-011-Automated-Bookkeeping,Automated Bookkeeping,financial,FINANCIAL,planned,planned
FIN-012-Invoice-Factoring-AI,Invoice Factoring Ai,financial,FINANCIAL,planned,planned
FIN-013-Charity-Donation-AI,Charity Donation Ai,financial,FINANCIAL,planned,planned
FIN-014-Expense-Tracker-AI,Expense Tracker Ai,financial,FINANCIAL,planned,planned
FIN-015-Financial-Wellness-Coach,Financial Wellness Coach,financial,FINANCIAL,planned,planned
FIN-016-Trade-Finance-AI,Trade Finance Ai,financial,FINANCIAL,planned,planned
FIN-017-Remittance-AI,Remittance Ai,financial,FINANCIAL,planned,planned
FIN-018-Wealth-Transfer-AI,Wealth Transfer Ai,financial,FINANCIAL,planned,planned
FIN-019-Payment-Gateway-AI,Payment Gateway Ai,financial,FINANCIAL,planned,planned
FIN-020-Debt-Consolidation-AI,Debt Consolidation Ai,financial,FINANCIAL,planned,planned
FIN-021-Tax-Deduction-Finder,Tax Deduction Finder,financial,FINANCIAL,planned,planned
FIN-022-Budget-Forecasting-AI,Budget Forecasting Ai,financial,FINANCIAL,planned,planned
FIN-023-Investment-Portfolio-AI,Investment Portfolio Ai,financial,FINANCIAL,planned,planned
FIN-024-Crowdfunding-AI,Crowdfunding Ai,financial,FINANCIAL,planned,planned
FIN-025-Escrow-Automation,Escrow Automation,financial,FINANCIAL,planned,planned
FIN-026-Financial-Compliance-Scanner,Financial Compliance Scanner,financial,FINANCIAL,planned,planned
FIN-027-Patent-Writer-AI,Patent Writer Ai,financial,FINANCIAL,planned,planned
FIN-028-Legal-Analyzer-AI,Legal Analyzer Ai,financial,FINANCIAL,planned,planned
FIN-029-Compliance-Wallet-SaaS,Compliance Wallet Saas,financial,FINANCIAL,planned,planned
FIN-030-Local-SEO-Ranker-AI,Local Seo Ranker Ai,financial,FINANCIAL,planned,planned
FIN-031-Investor-Dashboard-Builder,Investor Dashboard Builder,financial,FINANCIAL,planned,planned
FIN-032-Legal-Toolkit-AI,Legal Toolkit Ai,financial,FINANCIAL,planned,planned
FIN-033-AI-Tax-Preparation-Service,Ai Tax Preparation Service,financial,FINANCIAL,planned,planned
FIN-034-Payroll-Automation,Payroll Automation,financial,FINANCIAL,planned,planned
FIN-035-Insurance-Underwriting-AI,Insurance Underwriting Ai,financial,FINANCIAL,planned,planned
FIN-036-Arbitrage-Nexus-Platform,Arbitrage Nexus Platform,financial,FINANCIAL,growth,active
BW-001-Lash-Extension-Studio,Lash Extension Studio,beauty-wellness,BEAUTY-WELLNESS,validation,validation
BW-002-Mobile-Lash-Service,Mobile Lash Service,beauty-wellness,BEAUTY-WELLNESS,mvp,development
BW-003-Luxury-Lash-Bar,Luxury Lash Bar,beauty-wellness,BEAUTY-WELLNESS,validation,validation
BW-004-Lash-Training-Academy,Lash Training Academy,beauty-wellness,BEAUTY-WELLNESS,validation,validation
BW-005-Lash-Supply-Company,Lash Supply Company,beauty-wellness,BEAUTY-WELLNESS,mvp,development
BW-006-Lash-Glue-Brand,Lash Glue Brand,beauty-wellness,BEAUTY-WELLNESS,validation,validation
BW-007-Lash-Kits-&-Tools,Lash Kits & Tools,beauty-wellness,BEAUTY-WELLNESS,mvp,development
BW-008-Private-Label-Lashes,Private Label Lashes,beauty-wellness,BEAUTY-WELLNESS,planned,planned
BW-009-Franchise-Lash-Salons,Franchise Lash Salons,beauty-wellness,BEAUTY-WELLNESS,planned,planned
BW-010-Online-Lash-Education,Online Lash Education,beauty-wellness,BEAUTY-WELLNESS,mvp,development
BW-011-Nail-Salon,Nail Salon,beauty-wellness,BEAUTY-WELLNESS,validation,validation
BW-012-Mobile-Nail-Tech,Mobile Nail Tech,beauty-wellness,BEAUTY-WELLNESS,mvp,development
BW-013-Luxury-Nail-Spa,Luxury Nail Spa,beauty-wellness,BEAUTY-WELLNESS,validation,validation
BW-014-Press-On-Nail-Brand,Press On Nail Brand,beauty-wellness,BEAUTY-WELLNESS,mvp,development
BW-015-Nail-Art-Studio,Nail Art Studio,beauty-wellness,BEAUTY-WELLNESS,validation,validation
BW-016-Nail-Polish-Brand,Nail Polish Brand,beauty-wellness,BEAUTY-WELLNESS,mvp,development
BW-017-Nail-Care-Products,Nail Care Products,beauty-wellness,BEAUTY-WELLNESS,mvp,development
BW-018-Nail-Booking-Marketplace,Nail Booking Marketplace,beauty-wellness,BEAUTY-WELLNESS,planned,planned
BW-019-Salon-Management-Software,Salon Management Software,beauty-wellness,BEAUTY-WELLNESS,planned,planned
BW-020-AI-Nail-Design-Generator,Ai Nail Design Generator,beauty-wellness,BEAUTY-WELLNESS,planned,planned
BW-021-Hair-Salon,Hair Salon,beauty-wellness,BEAUTY-WELLNESS,validation,validation
BW-022-Barbershop,Barbershop,beauty-wellness,BEAUTY-WELLNESS,validation,validation
BW-023-Mobile-Hairstyling,Mobile Hairstyling,beauty-wellness,BEAUTY-WELLNESS,mvp,development
BW-024-Hair-Braiding-Studio,Hair Braiding Studio,beauty-wellness,BEAUTY-WELLNESS,validation,validation
BW-025-Wig-Installation-Studio,Wig Installation Studio,beauty-wellness,BEAUTY-WELLNESS,validation,validation
BW-026-Hair-Extension-Salon,Hair Extension Salon,beauty-wellness,BEAUTY-WELLNESS,validation,validation
BW-027-Hair-Care-Line,Hair Care Line,beauty-wellness,BEAUTY-WELLNESS,mvp,development
BW-028-Wig-Brand,Wig Brand,beauty-wellness,BEAUTY-WELLNESS,mvp,development
BW-029-Hair-Extensions-Brand,Hair Extensions Brand,beauty-wellness,BEAUTY-WELLNESS,mvp,development
BW-030-Scalp-Treatment-Products,Scalp Treatment Products,beauty-wellness,BEAUTY-WELLNESS,validation,validation
BW-031-Hair-Marketplace,Hair Marketplace,beauty-wellness,BEAUTY-WELLNESS,planned,planned
BW-032-Stylist-Booking-Platform,Stylist Booking Platform,beauty-wellness,BEAUTY-WELLNESS,planned,planned
BW-033-AI-Hairstyle-Simulator,Ai Hairstyle Simulator,beauty-wellness,BEAUTY-WELLNESS,planned,planned
BW-034-Salon-Franchise-Chain,Salon Franchise Chain,beauty-wellness,BEAUTY-WELLNESS,planned,planned
BW-035-Makeup-Studio,Makeup Studio,beauty-wellness,BEAUTY-WELLNESS,validation,validation
BW-036-Bridal-Makeup-Service,Bridal Makeup Service,beauty-wellness,BEAUTY-WELLNESS,mvp,development
BW-037-Mobile-Makeup-Artist,Mobile Makeup Artist,beauty-wellness,BEAUTY-WELLNESS,mvp,development
BW-038-Photoshoot-Makeup-Team,Photoshoot Makeup Team,beauty-wellness,BEAUTY-WELLNESS,validation,validation
BW-039-Cosmetics-Brand,Cosmetics Brand,beauty-wellness,BEAUTY-WELLNESS,mvp,development
BW-040-Beauty-Tools-Brand,Beauty Tools Brand,beauty-wellness,BEAUTY-WELLNESS,mvp,development
FH-001-Personal-Chef-Service,Personal Chef Service,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-002-Meal-Prep-Delivery,Meal Prep Delivery,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-003-Private-Dinner-Experiences,Private Dinner Experiences,food-hospitality,FOOD-HOSPITALITY,validation,validation
FH-004-Catering-Company,Catering Company,food-hospitality,FOOD-HOSPITALITY,validation,validation
FH-005-Corporate-Lunch-Service,Corporate Lunch Service,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-006-Healthy-Meal-Prep-for-Gyms,Healthy Meal Prep For Gyms,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-007-Elderly-Meal-Service,Elderly Meal Service,food-hospitality,FOOD-HOSPITALITY,validation,validation
FH-008-Athlete-Nutrition-Service,Athlete Nutrition Service,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-009-Packaged-Food-Brand,Packaged Food Brand,food-hospitality,FOOD-HOSPITALITY,validation,validation
FH-010-Frozen-Meals-Company,Frozen Meals Company,food-hospitality,FOOD-HOSPITALITY,validation,validation
FH-011-Sauce-or-Seasoning-Brand,Sauce Or Seasoning Brand,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-012-Protein-Snacks-Brand,Protein Snacks Brand,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-013-Meal-Kit-Company,Meal Kit Company,food-hospitality,FOOD-HOSPITALITY,validation,validation
FH-014-Cloud-Kitchen-,Cloud Kitchen ,food-hospitality,FOOD-HOSPITALITY,planned,planned
FH-015-AI-Nutrition-Planner,Ai Nutrition Planner,food-hospitality,FOOD-HOSPITALITY,planned,planned
FH-016-Recipe-App,Recipe App,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-017-Cooking-Content-Brand,Cooking Content Brand,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-018-Food-Influencer-Brand,Food Influencer Brand,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-019-Cooking-Course-Platform,Cooking Course Platform,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-020-Restaurant-POS-System,Restaurant Pos System,food-hospitality,FOOD-HOSPITALITY,planned,planned
FH-021-Food-Truck-Business,Food Truck Business,food-hospitality,FOOD-HOSPITALITY,validation,validation
FH-022-Specialty-Coffee-Shop,Specialty Coffee Shop,food-hospitality,FOOD-HOSPITALITY,validation,validation
FH-023-Bakery-&-Pastry-Shop,Bakery & Pastry Shop,food-hospitality,FOOD-HOSPITALITY,validation,validation
FH-024-Juice-Bar,Juice Bar,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-025-Ice-Cream-Shop,Ice Cream Shop,food-hospitality,FOOD-HOSPITALITY,validation,validation
FH-026-Gourmet-Food-Market,Gourmet Food Market,food-hospitality,FOOD-HOSPITALITY,validation,validation
FH-027-Food-Delivery-Platform,Food Delivery Platform,food-hospitality,FOOD-HOSPITALITY,planned,planned
FH-028-Restaurant-Management-SaaS,Restaurant Management Saas,food-hospitality,FOOD-HOSPITALITY,planned,planned
FH-029-Food-Quality-Testing-Lab,Food Quality Testing Lab,food-hospitality,FOOD-HOSPITALITY,planned,planned
FH-030-Organic-Food-Brand,Organic Food Brand,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-031-Vegan-Food-Company,Vegan Food Company,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-032-Keto-Meal-Service,Keto Meal Service,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-033-Food-Photography-Service,Food Photography Service,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-034-Restaurant-Consulting,Restaurant Consulting,food-hospitality,FOOD-HOSPITALITY,mvp,development
FH-035-Food-Safety-Training,Food Safety Training,food-hospitality,FOOD-HOSPITALITY,validation,validation
FS-001-Gym,Gym,fitness-sports,FITNESS-SPORTS,validation,validation
FS-002-Boutique-Fitness-Studio,Boutique Fitness Studio,fitness-sports,FITNESS-SPORTS,validation,validation
FS-003-Personal-Training-Studio,Personal Training Studio,fitness-sports,FITNESS-SPORTS,mvp,development
FS-004-Women-Only-Gym,Women Only Gym,fitness-sports,FITNESS-SPORTS,validation,validation
FS-005-Boxing-Gym,Boxing Gym,fitness-sports,FITNESS-SPORTS,validation,validation
FS-006-CrossFit-Gym,Crossfit Gym,fitness-sports,FITNESS-SPORTS,validation,validation
FS-007-Luxury-Fitness-Club,Luxury Fitness Club,fitness-sports,FITNESS-SPORTS,planned,planned
FS-008-Online-Coaching,Online Coaching,fitness-sports,FITNESS-SPORTS,mvp,development
FS-009-Personal-Trainer-Business,Personal Trainer Business,fitness-sports,FITNESS-SPORTS,mvp,development
FS-010-Transformation-Program,Transformation Program,fitness-sports,FITNESS-SPORTS,mvp,development
FS-011-Athlete-Training-Company,Athlete Training Company,fitness-sports,FITNESS-SPORTS,validation,validation
FS-012-Supplement-Brand,Supplement Brand,fitness-sports,FITNESS-SPORTS,mvp,development
FS-013-Fitness-Apparel,Fitness Apparel,fitness-sports,FITNESS-SPORTS,mvp,development
FS-014-Workout-Equipment-Brand,Workout Equipment Brand,fitness-sports,FITNESS-SPORTS,validation,validation
FS-015-Recovery-Products,Recovery Products,fitness-sports,FITNESS-SPORTS,mvp,development
FS-016-Fitness-App,Fitness App,fitness-sports,FITNESS-SPORTS,mvp,development
FS-017-AI-Personal-Trainer,Ai Personal Trainer,fitness-sports,FITNESS-SPORTS,planned,planned
FS-018-Gym-Management-Software,Gym Management Software,fitness-sports,FITNESS-SPORTS,planned,planned
FS-019-Wearable-Analytics-Platform,Wearable Analytics Platform,fitness-sports,FITNESS-SPORTS,planned,planned
FS-020-Yoga-Studio,Yoga Studio,fitness-sports,FITNESS-SPORTS,validation,validation
FS-021-Pilates-Studio,Pilates Studio,fitness-sports,FITNESS-SPORTS,validation,validation
FS-022-Dance-Studio,Dance Studio,fitness-sports,FITNESS-SPORTS,validation,validation
FS-023-Martial-Arts-Dojo,Martial Arts Dojo,fitness-sports,FITNESS-SPORTS,validation,validation
FS-024-Sports-Performance-Center,Sports Performance Center,fitness-sports,FITNESS-SPORTS,planned,planned
FS-025-Corporate-Wellness-Program,Corporate Wellness Program,fitness-sports,FITNESS-SPORTS,mvp,development
LT-001-Truck-Dispatch-Company,Truck Dispatch Company,logistics-transport,LOGISTICS-TRANSPORT,validation,validation
LT-002-Freight-Brokerage,Freight Brokerage,logistics-transport,LOGISTICS-TRANSPORT,validation,validation
LT-003-Logistics-Dispatch-Service,Logistics Dispatch Service,logistics-transport,LOGISTICS-TRANSPORT,mvp,development
LT-004-Last-Mile-Delivery-Dispatch,Last Mile Delivery Dispatch,logistics-transport,LOGISTICS-TRANSPORT,mvp,development
LT-005-Medical-Courier-Dispatch,Medical Courier Dispatch,logistics-transport,LOGISTICS-TRANSPORT,validation,validation
LT-006-Amazon,Amazon,logistics-transport,LOGISTICS-TRANSPORT,planned,planned
LT-007-Construction-Dispatch,Construction Dispatch,logistics-transport,LOGISTICS-TRANSPORT,validation,validation
LT-008-Towing-Dispatch,Towing Dispatch,logistics-transport,LOGISTICS-TRANSPORT,mvp,development
LT-009-HVAC-Technician-Dispatch,Hvac Technician Dispatch,logistics-transport,LOGISTICS-TRANSPORT,mvp,development
LT-010-Field-Service-Dispatch,Field Service Dispatch,logistics-transport,LOGISTICS-TRANSPORT,mvp,development
LT-011-Dispatch-Software,Dispatch Software,logistics-transport,LOGISTICS-TRANSPORT,planned,planned
LT-012-Fleet-Tracking-Platform,Fleet Tracking Platform,logistics-transport,LOGISTICS-TRANSPORT,planned,planned
