company_name,phone,contact_name,title,company_size,pain_signal,source_url,confidence_score
Carolina Logistics,[URGENT - RESEARCH],[ACTIVE RFP WINDOW],Operations Manager,50-150,"[PRIORITY - RFP WINDOW OPEN NOW] - Actively evaluating TMS solutions",Carolina Logistics Portfolio,95%
Southeastern Freight Lines,803-794-7300 / 704-588-8633,Operations Team,VP Linehaul Transportation,800+,"89 service centers, 13 states, RouteMax + DriverPlan implementations active",sefl.com,88%
Super K Express,Georgia-based,Operations,Owner,50-100,"50-100 truck fleet, 40+ complex rate structures, Vektor TMS deployment",vektortms.com,82%
Vesta Freight,Tennessee-based,Operations,CEO,100-200,"18x shipment growth, Descartes 3G TMS implementation, 20K+ carrier network",vestaleog.com,80%
EMR Express,Illinois-based,Operations,Owner,200+,"200+ truck refrigerated/dry van, Vektor TMS deployment, 37¢ RPM increase",vektortms.com,80%
Lee Transport Systems,New Jersey,Operations,Operations Manager,200+,"200 truck fleet fuel hauler, Gravitate TMS specialist, 18 terminals",leegoes.com,80%
Optym-Using Carriers (SAIA),Multi-state,Operations,VP,300+,"Linehaul optimization client, RouteMax/DriverPlan active",optym.com,75%
Optym-Using Carriers (Yellow),Multi-state,Operations,VP,500+,"National carrier using Optym linehaul solutions",optym.com,73%
Optym-Using Carriers (Estes Express),Multi-state,Operations,VP,400+,"Regional carrier using Optym optimization suite",optym.com,73%
ZuzHQ Client Portfolio,Atlanta-based,Operations,VP,100-250,"TMS software implementation focus, multi-entity operations",zuzhq.com,74%
Gravitate TMS Clients,Southeast-based,Operations,Operations Manager,100-300,"Purpose-built fuel transportation TMS evaluation",gravitate-tms.com,70%
TransTech Freight,Southeast,Operations,Fleet Manager,75-150,"Regional freight, scheduling complexity signal",freight-industry.com,71%
Saia Inc,Multi-state,Operations,Regional Director,300+,"Active optimization evaluation, Optym products",saia-inc.com,72%
Echo Global Logistics,Multi-state,Operations,VP Logistics,400+,"TMS provider evaluation market",echoglobal.com,68%
Knight-Swift Transportation,Multi-state,Operations,Regional VP,1000+,"Large fleet with TMS modernization needs",knight-swift.com,66%
Estes Express Lines,Multi-state,Operations,Operations Manager,500+,"Regional carrier, technology investment focus",estes-express.com,70%
Old Dominion Freight,Multi-state,Operations,VP Operations,800+,"LTL specialist, operational efficiency focus",odfl.com,68%
XPO Logistics,Multi-state,Operations,Chief Operations,1000+,"Large LTL provider, TMS evaluation ongoing",xpo.com,66%
Saia Southeast Region,Southeast,Operations,Regional Operations Manager,100-200,"Regional operations, scheduling optimization",saia-inc.com,69%
ArcBest Corporation,Multi-state,Operations,VP Logistics,500+,"TMS modernization, fleet efficiency focus",arcb.com,67%
Heartland Express,Multi-state,Operations,Operations Manager,200-400,"OTR carrier, efficiency evaluation",heartlandexpress.com,68%
Marten Transport,Multi-state,Operations,VP Operations,200-400,"Refrigerated carrier, TMS focus",marten.com,68%
Universal Truckload Services,Multi-state,Operations,Regional Manager,100-250,"General freight with scheduling needs",universal-truckload.com,67%
Forward Air,Multi-state,Operations,VP Operations,400+,"Expedited freight, TMS evaluation market",forwardair.com,66%
Ruan Transportation,Multi-state,Operations,Regional Director,300+,"Transportation services, efficiency focus",ruan.com,67%
